APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_p_w,APPVAL_RECS_bert-x_p_w,FOA_RECS_bert-x_p_w
8119772,m,w,"9470905,9690133,9690761,9690163,9690160","937500.0,922500.0,922500.0,922500.0,922500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
9998967,m,w,"7684760,7906821,8115053,8144872,7910454","730000.0,730000.0,720000.0,720000.0,720000.0","RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003"
9935976,f,w,"8330544,8456143,8644947,8644944,8329146","308250.0,303750.0,299250.0,665000.0,685000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060,RFA-MH-12-060"
9539516,m,w,"8248016,7629068,7917389,7919963,7845606","504000.0,511000.0,504000.0,504000.0,504000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10251166,10460466,10465217,10465218,10465219","1392000.0,1284000.0,1284000.0,1284000.0,1284000.0","RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006"
10770832,f,w,"10646671,9834607,9834548,9834549,9834550","1712000.0,1968000.0,1968000.0,1968000.0,1968000.0","RFA-CA-19-016,RFA-CA-19-016,RFA-CA-19-016,RFA-CA-19-016,RFA-CA-19-016"
8380026,m,w,"9509805,9228362,9226049,9075638,9899614","8875000.0,8875000.0,8875000.0,9301000.0,8733000.0","RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501"
10592409,f,w,"10708553,10708551,10506215,10508307,10676306","206000.0,206000.0,214000.0,214000.0,206000.0","RFA-ES-21-006,RFA-ES-21-006,RFA-ES-21-006,RFA-ES-21-006,RFA-ES-21-006"
8339880,m,w,"9177874,9319816,9706654,9494700,9812311","3144000.0,3000000.0,2952000.0,3000000.0,3000000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9592088,m,a,"10296363,10451808,10670199,10004030,9590189","580000.0,535000.0,515000.0,399750.0,406250.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"8133364,8543518,8032690,8032689,8032688","1400000.0,1350000.0,1440000.0,1440000.0,1440000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
