APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_o_w,APPVAL_RECS_bluebert_o_w,FOA_RECS_bluebert_o_w
9781466,m,w,"10475126,10692632,10692636,10692639,10250428","5617500.0,5407500.0,5407500.0,5407500.0,6090000.0","RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010"
8060626,m,w,"8902120,8310511,9049480,9069805,9069797","1662500.0,1712500.0000000002,1637500.0,1637500.0,1637500.0","RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002"
9896674,f,a,"9745323,9572427,9570703,9570686,9572407","1168500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"9393240,10075859,10078810,10078811,10078812","1562500.0,1450000.0,1450000.0,1450000.0,1450000.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"8475566,8154082,8380609,8381420,8381418","540000.0,560000.0,548000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8251938,8081955,8081370,8081289,8081465","274000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7924977,8034796,7694283,7694357,7694286","730000.0,700000.0,730000.0,730000.0,730000.0","RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009"
9960850,m,w,"8758050,7903194,7916426,7727520,7727339","332500.0,288000.0,288000.0,292000.0,292000.0","RFA-AG-14-012,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004"
8119772,m,w,"9293133,9087048,8862198,8867051,8743831","437500.0,458500.0,465500.0,465500.0,465500.0","RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002,RFA-NR-13-002"
9998967,m,w,"9773111,10228025,10229453,10229469,10231192","307500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8551682,8607976,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"10263329,9751316,9750775,9750112,9750099","290000.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"10733396,10733196,10732951,10732952,10732953","834300.0,834300.0,834300.0,834300.0,834300.0","RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012"
10770832,f,w,"10770832,10770711,10265512,10087243,10087167","515000.0,515000.0,696000.0,738000.0,738000.0","RFA-DE-23-013,RFA-DE-23-013,RFA-CA-20-006,RFA-CA-20-006,RFA-CA-20-006"
8380026,m,w,"9782896,9784806,9774040,9782894,9782897","307500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10371235,10686298,10134210,10134201,10113531","160500.0,154500.0,174000.0,174000.0,174000.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"8014657,8319516,8723019,8528440,8477078","288000.0,274000.0,266000.0,270000.0,270000.0","RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011"
9592088,m,a,"10670199,10296363,10451808,9986458,9987624","515000.0,580000.0,535000.0,922500.0,922500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"8846541,9320708,8846545,8846543,9320706","1330000.0,1250000.0,1330000.0,1330000.0,1250000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9287534,10152382,9515968,9468430,9692798","625000.0,535000.0,625000.0,625000.0,615000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8988958,f,b,"9060558,8989332,9318533,9323402,9331632","4389000.0,1662500.0,1562500.0,1562500.0,1562500.0","RFA-ES-15-011,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"8535751,8527771,8715797,8715796,8260907","67500.0,67500.0,66500.0,66500.0,70000.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8360497,7622564,7959959,7959955,7959952","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"9122269,8959582,9130073,9123506,9120741","98250.0,99750.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
10406304,f,w,"7682045,7680858,7682044,7893201,7901551","292000.0,292000.0,292000.0,288000.0,288000.0","RFA-MH-09-060,RFA-MH-09-060,RFA-MH-09-060,RFA-MH-09-060,RFA-MH-09-060"
9987453,f,w,"8341632,8519205,8821025,8518212,8516949","68500.0,67500.0,67500.0,67500.0,67500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
9525273,m,w,"8508853,8868907,9088307,9088306,9253807","25650000.0,25270000.0,24890000.0,24890000.0,24890000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"8032877,7936245,7933921,7676891,7676892","2160000.0,2160000.0,2160000.0,2190000.0,2190000.0","RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007"
