APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
9781466,m,w,"9762765,9172465,9171897,9172119,9170763","1353000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8060626,m,w,"10176472,9960809,10454984,9960291,9960292","1160000.0,1230000.0,1070000.0,1230000.0,1230000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"8077397,8081103,8078098,8077441,8074115","1368000.0,1368000.0,1330000.0,1330000.0,1330000.0","RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
10424380,m,a,"10174613,9882799,9882795,9882794,9882702","1334000.0,1414500.0,1414500.0,1414500.0,1414500.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"8880861,8532646,8187074,8187076,8187077","532000.0,540000.0,560000.0,560000.0,560000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8011168,7638663,7612689,7613471,7608714","252000.0,262800.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8064565,7691831,8064557,8064562,7892940","360000.0,365000.0,360000.0,360000.0,360000.0","RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040"
9960850,m,w,"10553643,9844531,10543729,10186853,9970386","3296000.0,3936000.0,3296000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9102131,9300928,8703980,8703891,8703237","655000.0,625000.0,665000.0,665000.0,665000.0","RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007"
9998967,m,w,"9948568,9939445,9975697,9986687,10013122","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025"
9935976,f,w,"9978087,9735446,9978910,9540496,10162653","615000.0,615000.0,615000.0,625000.0,580000.0","RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007"
9539516,m,w,"10242772,9636928,10159887,10457348,10469691","580000.0,625000.0,535000.0,535000.0,535000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
10518914,m,w,"10692845,10694941,10694929,10694928,10692841","741600.0,741600.0,741600.0,741600.0,741600.0","RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038"
10770832,f,w,"8876643,8722121,10436179,9512284,10372955","266000.0,266000.0,374500.0,437500.0,374500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"10290747,10690618,10693151,10690628,10690626","464000.0,412000.0,412000.0,412000.0,412000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10592409,f,w,"10132478,9720807,9728836,9728834,9728826","147600.0,147600.0,147600.0,147600.0,147600.0","RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007"
8339880,m,w,"8724343,8565628,8566312,8565991,8725571","266000.0,270000.0,270000.0,270000.0,266000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9592088,m,a,"8914578,8534774,9116633,9104147,9116634","997500.0,1012500.0,982500.0,982500.0,982500.0","RFA-DK-11-008,RFA-DK-11-008,RFA-DK-11-008,RFA-DK-11-008,RFA-DK-11-008"
10008967,m,w,"8736372,9320704,9067244,9067249,8735212","1330000.0,1250000.0,1310000.0,1310000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"8957921,8788721,9020268,8629792,8605558","5240000.0,5320000.0,5240000.0,5320000.0,5320000.0","RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010"
8988958,f,b,"10307472,10307482,10307398,10307399,10307428","535000.0,535000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"8333456,8911299,8535751,8532895,8527771","68500.0,66500.0,67500.0,67500.0,67500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8238287,8364937,8364919,8364920,8364922","1027500.0,1050000.0,1050000.0,1050000.0,1050000.0","RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005"
8769602,m,a,"9927973,10165449,9597601,9753104,10413034","861000.0,812000.0,875000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"8016149,8015818,8016130,8016145,8016146","1296000.0,1296000.0,1296000.0,1296000.0,1296000.0","RFA-HS-10-011,RFA-HS-10-011,RFA-HS-10-011,RFA-HS-10-011,RFA-HS-10-011"
9987453,f,w,"8959886,9172674,9174325,9103741,9121688","99750.0,98250.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"8042876,8526366,8379247,8316397,8382277","1440000.0,1350000.0,1370000.0,1370000.0,1370000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
10541697,m,h,"8894616,9119111,9128454,9120848,8639766","332500.0,327500.0,327500.0,327500.0,337500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
8856535,m,w,"8306916,7737500,7936261,7914339,7927151","205500.00000000003,219000.0,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
7886873,m,w,"8128700,7991894,7714040,7933911,7925684","560000.0,576000.0,365000.0,360000.0,360000.0","RFA-HD-09-008,RFA-HD-09-008,RFA-GM-09-012,RFA-GM-09-012,RFA-GM-09-012"
10488630,f,a,"10665204,10667123,10666871,10666025,8758050","206000.0,515000.0,515000.0,515000.0,332500.0","RFA-AG-23-011,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-14-012"
9137625,f,w,"9546410,9336163,9102722,9103568,9098341","187500.0,187500.0,199500.0,199500.0,199500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"7908827,7906028,7906062,7681307,7924168","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002"
9485284,m,w,"10371235,10654772,10656176,10656177,10656178","160500.0,154500.0,154500.0,154500.0,154500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8070326,m,w,"8375474,7670063,7670045,7670054,7670055","411000.00000000006,438000.0,438000.0,438000.0,438000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
8068031,f,w,"8233945,7858169,7858035,7858036,7660428","1301500.0,1387000.0,1387000.0,1387000.0,1387000.0","RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
9961343,m,w,"9478405,9476618,9476678,9476681,9477813","468750.0,468750.0,468750.0,468750.0,468750.0","RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"9387100,9747347,10461770,9995388,9545579","1250000.0,1230000.0,1070000.0,1230000.0,1250000.0","RFA-HL-17-001,RFA-HL-17-001,RFA-HL-17-001,RFA-HL-17-001,RFA-HL-17-001"
