APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_r_w,APPVAL_RECS_biomedbert_r_w,FOA_RECS_biomedbert_r_w
9269218,m,w,"7684281,7657486,7692230,7677500,8712511","511000.0,511000.0,511000.0,511000.0,332500.0","RFA-HG-07-029,RFA-HG-07-029,RFA-HG-07-029,RFA-HG-07-029,RFA-GM-11-003"
9960850,m,w,"9838705,9882207,10574601,10553643,10551296","3936000.0,3936000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7738830,8494063,7932085,8688286,7932151","365000.0,337500.0,360000.0,332500.0,360000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"10462583,9751316,9750775,9750112,9750099","267500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"9623982,9935976,9747383,8729741,9853327","281250.0,276750.0,276750.0,299250.0,276750.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-14-182,RFA-MH-19-410"
9539516,m,w,"8881044,8564060,8564160,8559171,8563646","655000.0,675000.0,675000.0,675000.0,675000.0","RFA-RM-12-015,RFA-RM-12-015,RFA-RM-12-015,RFA-RM-12-015,RFA-RM-12-015"
10518914,m,w,"10114985,10162304,10142440,10142442,10142443","1739999.9999999998,1739999.9999999998,1739999.9999999998,1739999.9999999998,1739999.9999999998","RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014"
10770832,f,w,"8722121,8876643,10770832,10770711,7663167","266000.0,266000.0,515000.0,515000.0,292000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-23-013,RFA-DE-23-013,RFA-DE-08-005"
8380026,m,w,"9782904,10003318,9185499,9186361,9186195","307500.0,307500.0,327500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9524798,9380898,9380806,9380901,9380825","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"8554582,8719909,8552312,8554953,8555728","67500.0,66500.0,67500.0,67500.0,67500.0","RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006"
9592088,m,a,"9183807,9339683,10675681,10645187,10053515","294750.0,281250.0,515000.0,515000.0,615000.0","RFA-DK-15-009,RFA-DK-15-009,RFA-DK-19-007,RFA-DK-19-007,RFA-DK-19-007"
10008967,m,w,"7917330,8664185,7796669,7869255,8136500","360000.0,350000.0,360000.0,360000.0,350000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
10134972,f,w,"9150311,9321023,9776405,9734507,9038685","1637500.0,1562500.0,1537500.0,1562500.0,1662500.0","RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019"
8988958,f,b,"10146856,9270926,9270972,9491813,9270381","1160000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001"
8535751,m,w,"8902125,9049484,9069807,9069799,9049478","1662500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002"
7959773,f,w,"8066329,7959597,7959647,7959648,7959649","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","749000.0,875000.0,861000.0,812000.0,861000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"9854277,10406304,9852512,9854274,10523509","246000.0,214000.0,246000.0,246000.0,206000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
9987453,f,w,"9519824,9519807,9720805,9706085,9701893","875000.0,875000.0,861000.0,861000.0,861000.0","RFA-AG-16-023,RFA-AG-16-023,RFA-AG-16-023,RFA-AG-16-023,RFA-AG-16-023"
9525273,m,w,"8897983,8385927,8385900,8385923,8385919","25270000.0,26030000.000000004,26030000.000000004,26030000.000000004,26030000.000000004","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"9453710,10705642,10755053,10754809,10754746","312500.0,59740.0,59740.0,59740.0,59740.0","RFA-MH-15-220,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012"
8856535,m,w,"9609262,9748426,10423663,9975693,10458119","625000.0,615000.0,580000.0,615000.0,535000.0","RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013"
7886873,m,w,"9194247,9358335,10457740,10459080,9771327","262000.0,250000.0,274540.60000000003,274540.60000000003,615000.0","RFA-HD-16-004,RFA-HD-16-004,RFA-HD-22-010,RFA-HD-22-010,RFA-OD-16-013"
10488630,f,a,"9414391,9558600,9558641,9413012,10619006","4125000.0,4125000.0,4125000.0,4125000.0,515000.0","RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-22-006"
9137625,f,w,"8460350,8525114,8533787,8520162,8531129","411000.00000000006,405000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"9309081,9193112,8764483,8446313,8797481","500000.0,524000.0,53200.0,54000.0,53200.0","RFA-MD-15-011,RFA-MD-15-011,RFA-DK-11-011,RFA-DK-11-011,RFA-DK-11-011"
9485284,m,w,"10695965,10129504,10468294,10264159,10533583","1802500.0,2152500.0,1872500.0,2030000.0,374500.0","RFA-RM-20-008,RFA-RM-20-008,RFA-RM-20-008,RFA-RM-20-008,RFA-HG-21-033"
8070326,m,w,"9823381,10013122,9824335,9824342,9823754","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025"
8068031,f,w,"10322699,10597885,9930470,9930471,9930472","535000.0,515000.0,615000.0,615000.0,615000.0","RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
9961343,m,w,"8897167,8899343,8460204,8459895,8460327","399000.0,399000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"8805745,8484318,9017816,8693014,9265711","332500.0,337500.0,327500.0,332500.0,312500.0","RFA-MD-12-004,RFA-MD-12-004,RFA-MD-12-004,RFA-MD-12-004,RFA-MD-13-008"
9150566,m,w,"9098205,9481714,9697816,9567637,9277472","524000.0,500000.0,492000.0,500000.0,500000.0","RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
10478136,m,w,"10254266,10001434,10005504,10005515,10005516","1160000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"10347760,10586094,10569619,10557171,10348223","802500.0,772500.0,772500.0,772500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"7903243,7927923,7892457,7647912,7893000","1095000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
10744343,f,a,"8291373,8118180,7936363,7888129,7879271","342500.0,350000.0,360000.0,360000.0,360000.0","RFA-DA-08-021,RFA-DA-08-021,RFA-DA-08-021,RFA-DA-08-021,RFA-DA-08-021"
10116708,f,w,"9051168,9150569,10601679,10747623,10033596","266000.0,262000.0,360500.0,360500.0,492000.0","RFA-RM-15-002,RFA-RM-15-002,RFA-HL-23-011,RFA-HL-23-011,RFA-HL-20-016"
9080334,m,w,"9523138,9080334,9323319,9313207,9281684","625000.0,655000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7959811,f,h,"8360508,7898077,7918325,7919929,7895134","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
9114017,m,h,"8246308,8133489,7798130,7798996,7796787","342500.0,350000.0,360000.0,360000.0,360000.0","RFA-AI-08-005,RFA-AI-08-005,RFA-AI-08-005,RFA-AI-08-005,RFA-AI-08-005"
8380038,m,w,"7681430,7680797,8520392,8463613,7896340","730000.0,730000.0,675000.0,675000.0,730000.0","RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001"
8468754,f,w,"9245732,8825531,9022512,8604915,7654129","3000000.0,3192000.0,3144000.0,3192000.0,730000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-06-002"
7737637,m,w,"8500194,8681356,8856127,8870288,8890101","202500.0,199500.0,199500.0,199500.0,199500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
8664703,m,w,"8066094,8173914,8173908,8173909,8173910","7200000.0,7200000.0,7200000.0,7200000.0,7200000.0","RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004"
8377171,m,w,"7848533,7582243,7673872,8079051,8664185","292000.0,365000.0,365000.0,350000.0,350000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"7677984,7662466,7908145,7880349,7677989","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
10495240,m,w,"9755115,9923712,7743071,7574522,7561701","246000.0,246000.0,288000.0,292000.0,292000.0","RFA-HD-19-018,RFA-HD-19-018,RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002"
9787108,m,w,"10491974,10374361,10581838,10583982,10583437","802500.0,869999.9999999999,206000.0,206000.0,206000.0","RFA-AG-21-033,RFA-AG-21-033,RFA-AG-23-002,RFA-AG-23-002,RFA-AG-23-002"
8036022,m,w,"8462539,8376768,8376725,8375733,8378787","405000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
10359813,m,w,"10104344,10594566,10590751,10427427,10426754","232000.0,206000.0,206000.0,214000.0,214000.0","RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351"
9753241,m,w,"9339893,9339899,9340044,9339963,9118611","250000.0,250000.0,250000.0,250000.0,262000.0","RFA-ES-16-006,RFA-ES-16-006,RFA-ES-16-006,RFA-ES-16-006,RFA-ES-15-008"
8659443,m,w,"9458749,9542426,9461554,9675657,9675658","187500.0,187500.0,187500.0,187500.0,187500.0","RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001"
9706081,f,a,"10624969,10204491,10415065,9860144,10164692","5356000.0,6032000.0,5564000.0,307500.0,290000.0","RFA-AG-21-014,RFA-AG-21-014,RFA-AG-21-014,RFA-AG-19-016,RFA-AG-19-016"
8698446,m,w,"9114642,9324029,9747330,9533890,8951512","352390.0,336250.0,330870.0,336250.0,357770.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"9313064,9929041,9513055,9513056,9493555","750000.0,738000.0,750000.0,750000.0,750000.0","RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350"
9527838,m,w,"9654628,10173608,9654290,9654633,9654389","4125000.0,3828000.0,4125000.0,4125000.0,4125000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
9994751,m,w,"7694292,8112545,8217278,7904765,7905975","730000.0,700000.0,685000.0,720000.0,720000.0","RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009"
10216205,m,w,"8066411,8119561,7758406,7758447,7758442","350000.0,350000.0,360000.0,360000.0,360000.0","RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003"
9355575,m,w,"9336575,9336635,9355575,9339637,9337097","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10588655,10588886,10588070,10588071,10588531","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029"
8132845,m,w,"10361524,10685338,10256732,10212948,10206275","53500.0,51500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-NS-18-007,RFA-NS-18-007,RFA-NS-18-007,RFA-NS-18-007,RFA-NS-18-007"
9561922,m,w,"8572720,8720662,8841837,8412666,8549295","67500.0,66500.0,1330000.0,1370000.0,1350000.0","RFA-AG-13-005,RFA-AG-13-005,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006"
8710052,m,w,"9703434,9703435,10709379,10709378,9902085","184500.0,184500.0,154500.0,154500.0,184500.0","RFA-CA-18-009,RFA-CA-18-009,RFA-CA-22-009,RFA-CA-22-009,RFA-CA-19-027"
10116392,f,w,"9259334,9520081,9538741,9532177,9553749","2187500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"9084924,8737743,9119536,9346753,9139742","1330000.0,1330000.0,1310000.0,1310000.0,1310000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"10707894,10339955,10228524,10649421,10391534","412000.0,428000.0,1334000.0,1184500.0,1230500.0","RFA-DK-20-506,RFA-DK-20-506,RFA-DK-20-010,RFA-DK-20-010,RFA-DK-20-010"
