APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_r_w,APPVAL_RECS_deberta_r_w,FOA_RECS_deberta_r_w
10406304,f,w,"7691786,7687896,7805474,7805475,7805473","73000.0,73000.0,72000.0,72000.0,72000.0","RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080"
9987453,f,w,"10663385,10277070,10275726,10274937,10273747","515000.0,580000.0,580000.0,580000.0,580000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
9525273,m,w,"9517660,8681331,8385826,8385842,8329792","23750000.0,25270000.0,26030000.000000004,26030000.000000004,26030000.000000004","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"10488409,10263699,10263653,10263628,10488978","267500.0,290000.0,290000.0,290000.0,267500.0","RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002"
8856535,m,w,"10750627,10750700,10756808,10750083,9893507","515000.0,515000.0,515000.0,515000.0,614998.77","RFA-AI-22-050,RFA-AI-22-050,RFA-AI-22-050,RFA-AI-22-050,RFA-AI-18-053"
7886873,m,w,"8128700,7991894,10217221,10459080,10457740","560000.0,576000.0,232000.0,274540.60000000003,274540.60000000003","RFA-HD-09-008,RFA-HD-09-008,RFA-HD-20-021,RFA-HD-22-010,RFA-HD-22-010"
10488630,f,a,"10514064,10701771,10634546,10417206,10456063","535000.0,515000.0,257500.0,267500.0,267500.0","RFA-AG-22-019,RFA-AG-22-019,RFA-AG-20-025,RFA-AG-20-025,RFA-AG-20-025"
9137625,f,w,"8462079,8539740,8461449,8461393,8462049","205500.00000000003,202500.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"10256798,10254418,10636807,10221177,10213963","406000.0,406000.0,360500.0,430500.0,430500.0","RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001"
9485284,m,w,"9062480,9316690,9688386,8874245,8682896","1310000.0,1250000.0,1250000.0,1330000.0,1330000.0","RFA-HG-13-004,RFA-HG-13-004,RFA-HG-13-004,RFA-HG-13-004,RFA-HG-12-006"
8070326,m,w,"8812776,9040872,9226034,9226030,9226035","1995000.0,1965000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8068031,f,w,"10630593,10631646,10707213,10740364,7626248","535000.0,515000.0,515000.0,515000.0,584000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-07-003"
9961343,m,w,"8897162,8460212,8460327,8459895,8460204","399000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10740364,10707213,10631646,10630593,8182474","515000.0,515000.0,515000.0,535000.0,396000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-CA-09-501"
9150566,m,w,"10219251,10017222,9831503,7787771,7618056","232000.0,246000.0,246000.0,1460000.0,1460000.0","RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-023,RFA-ES-07-008,RFA-ES-07-008"
10478136,m,w,"8927081,9343075,9321934,9342650,9342654","1662500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
10343347,m,w,"10586094,10569619,10343347,10347760,10348223","772500.0,772500.0,802500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8382580,8293763,8174019,8295029,8295030","1164500.0,1190000.0,1190000.0,1190000.0,1190000.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
