APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
7886873,m,w,"9914839,9748973,9914842,9748978,9748977","1476000.0,1476000.0,1476000.0,1476000.0,1476000.0","RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008,RFA-HD-18-008"
10488630,f,a,"10665204,10666025,10666871,10667123,10145316","206000.0,515000.0,515000.0,515000.0,123000.0","RFA-AG-23-011,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-19-003"
9137625,f,w,"9546414,9748855,9137623,9137625,9137626","187500.0,184500.0,196500.0,196500.0,196500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"9193112,9309081,10747205,10749781,10749786","524000.0,500000.0,123600.0,515000.0,515000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-HD-23-027,RFA-HG-22-027,RFA-HG-22-026"
9485284,m,w,"10578468,10578579,10578616,10710052,10588717","515000.0,515000.0,515000.0,515000.0,535000.0","RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041"
8070326,m,w,"8391479,8495266,8487363,8499254,8487364","411000.00000000006,405000.0,405000.0,405000.0,405000.0","RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032"
8068031,f,w,"10800506,10800562,10800504,10800499,10809411","257500.0,257500.0,257500.0,257500.0,257500.0","RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001"
9961343,m,w,"10828513,10827786,10827637,10827571,10825975","581950.0,581950.0,581950.0,581950.0,581950.0","RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027"
8870884,m,h,"10631646,10707213,10630593,10740364,10640077","515000.0,515000.0,535000.0,515000.0,515000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-20-006"
9150566,m,w,"10372177,10696148,10470342,10497336,10531974","214000.0,206000.0,214000.0,214000.0,214000.0","RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011"
10478136,m,w,"10238132,9401387,9780487,9782721,9783775","339880.0,366250.0,360390.0,360390.0,360390.0","RFA-DK-16-029,RFA-DK-16-029,RFA-DK-16-029,RFA-DK-16-029,RFA-DK-16-029"
10343347,m,w,"10569619,10343347,10347760,10348223,10557171","772500.0,802500.0,802500.0,802500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8848514,9526400,9526398,9526399,9462861","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
