APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_p_wi,APPVAL_RECS_roberta_p_wi,FOA_RECS_roberta_p_wi
8119772,m,w,"7617895,7673736,7672271,7683038,8311059","365000.0,365000.0,365000.0,365000.0,342500.0","RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-08-011"
9998967,m,w,"8433122,8433150,8433134,8433149,8432962","685000.0,675000.0,675000.0,685000.0,685000.0","RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004"
9935976,f,w,"10744678,10744578,10743669,8604913,8733202","1030000.0,1030000.0,1030000.0,270000.0,266000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-MH-13-091,RFA-MH-13-091"
9539516,m,w,"8128715,8142015,7683010,7683834,7667163","700000.0,700000.0,730000.0,730000.0,730000.0","RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005"
10518914,m,w,"10525593,10729386,10704593,10704599,10704609","1605000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"8876643,8722121,10436179,9512284,9684606","266000.0,266000.0,374500.0,437500.0,430500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"8436395,8545842,9136088,8734406,8926397","68500.0,67500.0,65500.0,66500.0,66500.0","RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028"
10592409,f,w,"9099726,9493275,9727906,9513314,9471342","524000.0,500000.0,492000.0,500000.0,500000.0","RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027"
8339880,m,w,"9737815,9976428,10198685,10198684,10198683","1014750.0,1014750.0,957000.0,957000.0,957000.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
9592088,m,a,"10451808,10296363,10670199,9143094,8916687","535000.0,580000.0,515000.0,982500.0,997500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-11-009,RFA-DK-11-009"
10008967,m,w,"7938906,8380613,7917472,7917473,7917474","1460000.0,1370000.0,1460000.0,1460000.0,1460000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
10134972,f,w,"9150311,9321023,9776405,9734507,9038685","1637500.0,1562500.0,1537500.0,1562500.0,1662500.0","RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019,RFA-RM-14-019"
