APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_w,APPVAL_RECS_bert-base(para)_r_w,FOA_RECS_bert-base(para)_r_w
9269218,m,w,"7666892,7839492,7664511,7666932,7667260","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010"
9960850,m,w,"10551296,9923517,10704736,10624283,10574601","3296000.0,3936000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9774232,10244881,10240469,10240632,10241363","307500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9998967,m,w,"8605301,8988580,8605628,8605657,8603715","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8431983,8551682,9010966,8607976,9211357","674998.65,664998.67,654998.6900000001,664998.67,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"7677822,8118274,7911174,7919963,7845606","511000.0,490000.0,511000.0,504000.0,504000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10704599,10704609,10705800,10705796,10705788","1545000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"10372955,10130485,9684606,9660552,9512284","374500.0,406000.0,430500.0,430500.0,437500.0","RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9782897,9354433,9353790,9354450,9353793","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9767005,9524800,10238906,10238907,10238908","246000.0,250000.0,232000.0,232000.0,232000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
