APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_r_wi,APPVAL_RECS_albert_r_wi,FOA_RECS_albert_r_wi
8856535,m,w,"9266296,9462040,9683777,9674383,9274154","187500.0,187500.0,184500.0,184500.0,187500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
7886873,m,w,"10217221,10459080,10457740,10226692,9464378","232000.0,274540.60000000003,274540.60000000003,261000.0,93750.0","RFA-HD-20-021,RFA-HD-22-010,RFA-HD-22-010,RFA-HD-21-007,RFA-HD-14-017"
10488630,f,a,"9674261,9784662,9928383,9734842,9738727","625000.0,625000.0,246000.0,123000.0,123000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-AG-17-059,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"9137623,9748859,9336710,9336711,9137622","196500.0,184500.0,187500.0,187500.0,196500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"8660774,8660805,9959375,8660389,8660407","202500.0,202500.0,184500.0,202500.0,202500.0","RFA-RM-13-001,RFA-RM-13-001,RFA-RM-13-001,RFA-RM-13-001,RFA-RM-13-001"
9485284,m,w,"10119123,10118771,10261386,10256724,10687330","492000.0,492000.0,464000.0,464000.0,428000.0","RFA-RM-20-001,RFA-RM-20-001,RFA-RM-20-001,RFA-RM-20-001,RFA-RM-20-001"
8070326,m,w,"8810650,9223658,9257270,9242600,9317412","1995000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8068031,f,w,"10150479,9733765,9697195,9697196,9697197","1102000.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"8528516,9114393,8528512,8528515,8525115","405000.0,393000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"9265711,8890215,9477371,9054673,8776074","312500.0,332500.0,312500.0,327500.0,332500.0","RFA-MD-13-008,RFA-MD-13-008,RFA-MD-13-008,RFA-MD-13-008,RFA-MD-13-008"
9150566,m,w,"10208884,10164781,10359121,10359841,10378135","57999.99999999999,57999.99999999999,53500.0,53500.0,53500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
10478136,m,w,"10364965,10364966,10356729,10356730,10356731","85600.0,85600.0,85600.0,85600.0,85600.0","RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056"
10343347,m,w,"10347760,10343347,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"10415065,10624969,10204491,8014439,8441092","5564000.0,5356000.0,6032000.0,1440000.0,1370000.0","RFA-AG-21-014,RFA-AG-21-014,RFA-AG-21-014,RFA-AG-10-002,RFA-AG-10-002"
10744343,f,a,"8828160,8845185,8828159,8792844,8719655","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
