APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_p_wi,APPVAL_RECS_bert-s_p_wi,FOA_RECS_bert-s_p_wi
9527152,m,a,"8743206,9084547,8584670,9036982,8721417","532000.0,524000.0,540000.0,524000.0,532000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
10217030,f,w,"10744678,10743669,10744578,7656591,7845561","1030000.0,1030000.0,1030000.0,365000.0,360000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-MH-06-002,RFA-MH-06-002"
10104482,m,a,"9392124,8552185,9186491,9187857,9185920","6541666.25,6960332.890000001,6541666.25,6541666.25,6541666.25","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
8787984,m,w,"10316230,10073328,9444587,9614247,9606058","321000.0,348000.0,375000.0,369000.0,369000.0","RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079"
7921782,f,b,"10410360,9965073,10645011,10145749,8793277","534998.93,614998.77,514998.97,579998.84,665000.0","RFA-HD-20-005,RFA-HD-20-005,RFA-HD-20-005,RFA-HD-20-005,RFA-HL-14-019"
9222148,f,w,"9432540,9222148,8507814,8525399,8526391","250000.0,250000.0,270000.0,270000.0,270000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010"
9674467,m,w,"8627412,8897372,8897374,8897373,8626815","337500.0,332500.0,332500.0,332500.0,337500.0","RFA-ES-13-004,RFA-ES-13-004,RFA-ES-13-004,RFA-ES-13-004,RFA-ES-13-004"
9273611,m,w,"10570855,10374385,10375045,10552045,10570228","515000.0,535000.0,535000.0,515000.0,515000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"9742998,9517965,9725732,9297319,9313136","387450.0,393750.0,387450.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"8295307,8341130,8675841,8675840,8675836","205500.00000000003,205500.00000000003,199500.0,199500.0,199500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"9283257,8319371,8712534,8327329,9552255","687500.0,753500.0000000001,731500.0,770000.0,687500.0","RFA-HG-10-010,RFA-HG-10-010,RFA-HG-10-010,RFA-HG-10-010,RFA-HG-10-010"
8300031,f,w,"9130457,8733166,8924283,8924248,9115575","665000.0,665000.0,665000.0,665000.0,655000.0","RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014"
9339325,f,h,"8281930,8326513,8282267,8282588,8282018","700000.0,685000.0,700000.0,700000.0,700000.0","RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8814164,m,w,"9182863,9182864,9187430,9187408,9186487","375000.0,375000.0,375000.0,375000.0,375000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"10447707,10221394,10226610,10226609,10226608","12305000.0,13340000.0,13340000.0,13340000.0,13340000.0","RFA-AI-20-026,RFA-AI-20-026,RFA-AI-20-026,RFA-AI-20-026,RFA-AI-20-026"
9672444,f,h,"8737348,7617798,7617795,7617794,7787771","1350000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
8672569,m,w,"7892341,7925614,8092629,8097321,8097322","1095000.0,1080000.0,1080000.0,1080000.0,1080000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
9688831,f,w,"8775966,9120853,8776080,8926957,8926959","997500.0,982500.0,997500.0,997500.0,997500.0","RFA-DK-13-507,RFA-DK-13-507,RFA-DK-13-507,RFA-DK-13-507,RFA-DK-13-507"
10374944,m,w,"10222107,10688395,10688371,10688372,10688374","1845000.0,1605000.0,1605000.0,1605000.0,1605000.0","RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038"
10208856,m,h,"10352461,10211467,9573392,9762081,9978039","214000.0,232000.0,250000.0,246000.0,307500.0","RFA-DE-20-007,RFA-DE-20-007,RFA-DE-18-006,RFA-DE-18-006,RFA-DE-18-005"
10197904,m,a,"7899346,7912360,8927633,9552803,9334851","1131500.0,1131500.0,1330000.0,1250000.0,1250000.0","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013"
8520046,m,w,"7713129,7900667,8380203,8328701,8306601","219000.0,219000.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-HD-08-007,RFA-HD-08-007,RFA-HD-08-007,RFA-HD-08-007,RFA-HD-08-007"
