APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
9036866,m,a,"8833707,9544180,9747903,9334211,9148259","1330000.0,625000.0,615000.0,625000.0,655000.0","RFA-DK-13-027,RFA-DK-14-025,RFA-DK-14-025,RFA-DK-14-025,RFA-DK-14-025"
9851219,m,w,"9242535,9269130,9471780,9057934,9022388","281250.0,281250.0,281250.0,294750.0,294750.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
8417684,m,w,"9069718,8580280,9059010,8853239,8878151","262000.0,270000.0,262000.0,266000.0,266000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
9462861,f,a,"8712256,8851500,8711845,8709733,9057934","299250.0,299250.0,299250.0,299250.0,294750.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
9750233,f,w,"9546463,9926797,9156542,9346002,9691088","156250.0,153750.0,163750.0,156250.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7886453,f,a,"8881515,8883055,9124604,8925805,8919250","266000.0,266000.0,262000.0,266000.0,266000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
10438739,m,w,"9926797,9346002,9691088,9546463,9156542","153750.0,156250.0,153750.0,156250.0,163750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10103766,m,w,"8617223,9000120,8509163,9213339,8794412","997500.0,982500.0,1012500.0,937500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8360570,m,w,"9166557,9162446,9352360,9321083,9336322","327500.0,327500.0,312500.0,312500.0,312500.0","RFA-RM-15-008,RFA-RM-15-008,RFA-RM-15-008,RFA-RM-15-008,RFA-RM-15-008"
7864164,f,a,"9631895,8811916,8815168,8825406,8825404","1875000.0,1995000.0,1995000.0,1995000.0,1995000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
10748898,m,w,"8996081,9291402,9146268,9494700,9706654","399000.0,375000.0,393000.0,3000000.0,2952000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-MH-16-600,RFA-MH-16-600"
8537820,m,w,"8475814,9304043,8472894,8472893,8501981","67500.0,62500.0,67500.0,67500.0,67500.0","RFA-AR-13-001,RFA-AR-13-001,RFA-AR-13-001,RFA-AR-13-001,RFA-AR-13-001"
7714994,m,w,"10372447,10670680,10491848,8758050,8851498","290000.0,257500.0,267500.0,332500.0,266000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-14-012,RFA-AG-13-007"
7934476,m,w,"8833707,9644908,9242006,9117092,9117340","1330000.0,307500.0,312500.0,327500.0,327500.0","RFA-DK-13-027,RFA-DE-16-004,RFA-DE-16-004,RFA-DE-16-004,RFA-DE-16-004"
9783761,m,w,"8919254,9124606,8886572,10241423,9882868","266000.0,262000.0,266000.0,290000.0,307500.0","RFA-FD-14-083,RFA-FD-14-083,RFA-FD-14-083,RFA-EB-18-002,RFA-EB-18-002"
7643791,m,w,"10645719,10645964,10645746,10645467,8550129","515000.0,515000.0,515000.0,515000.0,540000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-HL-12-035"
8508879,f,w,"9526791,9024427,9257275,9242591,9257262","1875000.0,1965000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8315680,m,w,"8698651,8339363,8519139,9130634,8258577","465500.0,479500.00000000006,472500.00000000006,458500.0,490000.0","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
8003496,m,w,"8996081,9291402,9146268,10425329,9932869","399000.0,375000.0,393000.0,535000.0,615000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-18-022,RFA-AG-18-022"
9902304,f,w,"9146268,9291402,8996081,9967926,9519819","393000.0,375000.0,399000.0,615000.0,625000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-16-022,RFA-AG-16-022"
9369086,m,a,"9951035,9316605,9173599,9517023,9697814","553500.0,562500.0,589500.0,562500.0,553500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
9058296,f,w,"10108754,10264915,10472038,10472039,10472040","3075000.0,2900000.0,2675000.0,2675000.0,2675000.0","RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007"
8656768,m,w,"9695908,9928385,9565384,9421907,10528845","430500.0,430500.0,437500.0,437500.0,535000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-DA-22-009"
8754322,m,w,"10645746,10645964,10645467,10645719,8411660","515000.0,515000.0,515000.0,515000.0,548000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-HL-12-035"
9824335,m,a,"10186749,10330584,10376779,9930311,9930703","290000.0,267500.0,267500.0,307500.0,307500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
7831501,m,w,"8758050,10144440,10597055,10569629,9930703","332500.0,290000.0,257500.0,257500.0,307500.0","RFA-AG-14-012,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
8518431,m,a,"8854085,9084547,8829218,8691778,8743206","532000.0,524000.0,532000.0,532000.0,532000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
