APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
8994766,f,a,"8989739,9520297,9527148,9527149,9786269","1662500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
9752986,f,w,"10016227,10259734,10242183,10242184,10242185","2767500.0,2610000.0,2610000.0,2610000.0,2610000.0","RFA-CA-17-034,RFA-CA-17-034,RFA-CA-17-034,RFA-CA-17-034,RFA-CA-17-034"
8205975,f,w,"9827799,9827920,10058434,9989897,9985203","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240"
9349640,m,a,"7878872,7937570,7666180,8122622,8128554","1440000.0,1460000.0,1460000.0,1080000.0,1050000.0","RFA-CA-07-039,RFA-CA-07-039,RFA-CA-07-039,RFA-CA-08-012,RFA-CA-08-012"
10371038,m,w,"9707462,9707379,9707377,9707463,9707646","492000.0,492000.0,492000.0,492000.0,492000.0","RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044"
8015695,f,w,"9321323,9753243,9753245,9754826,9754827","875000.0,861000.0,861000.0,861000.0,861000.0","RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008"
10025571,m,w,"8379482,8545231,8137494,8337266,8337264","1712500.0000000002,1687500.0,1750000.0,1750000.0,1750000.0","RFA-OD-08-001,RFA-OD-08-001,RFA-OD-08-001,RFA-OD-08-001,RFA-OD-08-001"
9272873,m,w,"8376602,8448741,8448746,8448752,8249137","1027500.0,1012500.0,1012500.0,1012500.0,1027500.0","RFA-DK-07-010,RFA-DK-07-010,RFA-DK-07-010,RFA-DK-07-010,RFA-DK-07-010"
7895699,m,w,"9629956,9636460,9859216,9854875,10612125","492000.0,492000.0,492000.0,492000.0,428000.0","RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078"
7920509,m,w,"10631108,10473735,10296340,10693360,10518318","721000.0,749000.0,812000.0,1133000.0,1177000.0","RFA-HG-20-043,RFA-HG-20-043,RFA-HG-20-043,RFA-HG-21-029,RFA-HG-21-029"
