APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_p_wi,APPVAL_RECS_bert-base(para)_p_wi,FOA_RECS_bert-base(para)_p_wi
10704625,f,a,"10631927,10439370,9352804,9546642,10129922","772500.0,802500.0,1000000.0,1000000.0,232000.0","RFA-CA-21-023,RFA-CA-21-023,RFA-CA-15-021,RFA-CA-15-021,RFA-CA-19-021"
10058126,m,w,"10218161,10457326,10058889,10687258,9332376","696000.0,642000.0,738000.0,618000.0,562500.0","RFA-DK-19-011,RFA-DK-19-011,RFA-DK-19-011,RFA-DK-19-011,RFA-DK-14-011"
8120923,m,w,"9538564,8599556,9538562,8600497,9538565","2250000.0,2394000.0,2250000.0,2394000.0,2250000.0","RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001"
8321540,m,a,"7960434,7960445,7960427,7960429,7960430","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001"
10381732,f,w,"9753356,9754248,9353884,9352877,9352876","861000.0,861000.0,875000.0,875000.0,875000.0","RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750"
8929132,f,w,"8929134,8797794,8799700,8795539,8797405","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AG-14-006,RFA-AG-14-006,RFA-AG-14-006,RFA-AG-14-006,RFA-AG-14-006"
8673936,m,w,"7648045,7880828,7880195,8101894,8106158","730000.0,720000.0,720000.0,700000.0,700000.0","RFA-HS-08-001,RFA-HS-08-001,RFA-HS-08-001,RFA-HS-08-001,RFA-HS-08-001"
9118187,m,w,"9164853,9166919,9164925,9376661,9365686","262000.0,262000.0,262000.0,250000.0,250000.0","RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013"
9132766,m,w,"8075516,8075512,7846858,7846857,7846856","1050000.0,1080000.0,1095000.0,1095000.0,1095000.0","RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007"
7577103,m,w,"10786889,9273255,9351279,10114823,10461771","257500.0,327500.0,312500.0,49200.0,42800.0","RFA-FD-23-016,RFA-FD-16-026,RFA-FD-16-026,RFA-FD-20-018,RFA-FD-20-018"
9729404,f,w,"8516980,8725573,7989182,7989006,7989090","1350000.0,1330000.0,1440000.0,1440000.0,1440000.0","RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029"
8123218,m,w,"8874082,8489240,8690776,8676616,8730074","465500.0,472500.00000000006,465500.0,465500.0,465500.0","RFA-AG-11-003,RFA-AG-11-003,RFA-AG-11-003,RFA-AG-11-003,RFA-AG-11-003"
9785499,m,w,"9994920,9563259,9562076,9559660,9562066","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8877054,m,w,"8529438,8650376,8821025,8518212,8516949","67500.0,68500.0,67500.0,67500.0,67500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
8739103,m,w,"10485231,10310901,10310739,10700141,10700075","267500.0,290000.0,290000.0,257500.0,257500.0","RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003"
8351929,m,a,"9102043,8352005,8526435,8545750,8539587","458500.0,479500.00000000006,472500.00000000006,472500.00000000006,472500.00000000006","RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009"
9037654,f,w,"10290852,10661790,10480947,10480949,10480955","464000.0,412000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10142419,m,w,"8882257,8768636,8874104,8885651,8768731","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
8436314,f,w,"9223715,8605797,8802881,8791700,8808770","312500.0,332500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
10213173,f,w,"10349839,10565872,10359831,10821572,10206685","535000.0,515000.0,321000.0,309000.0,348000.0","RFA-AI-20-055,RFA-AI-20-055,RFA-AI-20-003,RFA-AI-20-003,RFA-AI-20-003"
8230658,m,w,"8438460,8440332,8440346,8438450,8440339","837000.0,837000.0,837000.0,837000.0,837000.0","RFA-DK-08-504,RFA-DK-08-504,RFA-DK-08-504,RFA-DK-08-504,RFA-DK-08-504"
7899806,f,w,"10064152,10831117,9924195,10292992,10019836","580000.0,515000.0,615000.0,535000.0,276750.0","RFA-MH-20-110,RFA-MH-20-110,RFA-MH-20-110,RFA-MH-20-110,RFA-DA-19-036"
8144758,f,w,"10689666,10440817,10773680,10107455,10108677","231750.0,240750.0,515000.0,261000.0,261000.0","RFA-MH-21-188,RFA-MH-21-188,RFA-DA-23-050,RFA-MH-18-706,RFA-MH-18-706"
10427283,m,w,"10085037,10455492,10431920,10431922,10431924","984000.0,856000.0,856000.0,856000.0,856000.0","RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016"
9116071,m,w,"8929103,9087113,9282549,9293947,9282538","66500.0,65500.0,62500.0,62500.0,62500.0","RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004"
8360343,m,w,"9762097,10476525,9564894,10015261,10251291","1968000.0,1712000.0,2000000.0,1968000.0,1856000.0","RFA-RM-16-026,RFA-RM-16-026,RFA-RM-16-026,RFA-RM-16-026,RFA-RM-16-026"
9277069,m,w,"9058016,8858611,8868082,9334847,9275954","425750.0,432250.0,432250.0,406250.0,406250.0","RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026"
