APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_wi,APPVAL_RECS_bert-base(para)_o_wi,FOA_RECS_bert-base(para)_o_wi
9592088,m,a,"9560787,9772794,9385118,9385114,9386543","937500.0,937500.0,937500.0,937500.0,937500.0","RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10008967,m,w,"8735212,9067248,8736363,8736366,8736371","1330000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"8339413,8334416,8210246,8210341,8209937","274000.0,274000.0,280000.0,280000.0,280000.0","RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010"
8988958,f,b,"9060558,9518900,9341298,9331639,9331637","4389000.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-15-011,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"9535290,9562053,9769005,9768431,9321236","62500.0,62500.0,61500.0,61500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"8360173,8359657,8359582,8129510,8360546","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"9812715,10584472,10356909,10361518,10400919","276750.0,231750.0,240750.0,240750.0,240750.0","RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018"
10406304,f,w,"10375377,10533805,10334476,10312015,9852174","214000.0,206000.0,214000.0,214000.0,246000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
9987453,f,w,"9657194,10083763,9843530,10335171,8339951","492000.0,464000.0,492000.0,428000.0,68500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-AG-12-002"
9525273,m,w,"8868916,9525279,9306760,9320749,9320748","25270000.0,23750000.0,23750000.0,23750000.0,23750000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"10101989,10523350,10502363,10503064,10505229","61500.0,53500.0,53500.0,53500.0,53500.0","RFA-NS-19-043,RFA-NS-19-043,RFA-NS-19-043,RFA-NS-19-043,RFA-NS-19-043"
8856535,m,w,"10076786,10064126,10531132,10523539,9893507","579998.84,579998.84,514998.97,514998.97,614998.77","RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053"
7886873,m,w,"7915188,7903427,8119428,8119429,8132417","1756800.0,1781200.0,1756800.0,1756800.0,1756800.0","RFA-GM-07-002,RFA-GM-07-002,RFA-GM-07-002,RFA-GM-07-002,RFA-GM-07-002"
10488630,f,a,"10057082,10684900,10684865,10552842,10551944","615000.0,515000.0,515000.0,535000.0,535000.0","RFA-NS-20-005,RFA-RM-22-005,RFA-RM-22-005,RFA-RM-22-005,RFA-RM-22-005"
9137625,f,w,"8730489,8730479,8461470,8459795,8461029","199500.0,199500.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"7845679,7828105,7842566,7842565,7644037","1387000.0,1387000.0,1387000.0,1387000.0,1387000.0","RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002"
9485284,m,w,"9485284,9691126,9691121,10150750,10150749","20625000.0,20295000.0,20295000.0,19140000.0,19140000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
8070326,m,w,"8378741,8119511,7696438,7696435,7663546","1370000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014"
8068031,f,w,"9570705,9484512,9482284,9484496,9485172","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"9308687,9531889,9552617,9527636,9527643","87500.0,87500.0,87500.0,87500.0,87500.0","RFA-FD-15-018,RFA-FD-15-018,RFA-FD-15-018,RFA-FD-15-018,RFA-FD-15-018"
8870884,m,h,"10686348,10263229,10086915,10479994,10472643","618000.0,696000.0,738000.0,642000.0,642000.0","RFA-CA-20-006,RFA-CA-20-006,RFA-CA-20-006,RFA-CA-20-006,RFA-CA-20-006"
9150566,m,w,"9035943,9036603,9144438,9554954,9698354","66500.0,66500.0,65500.0,312500.0,307500.0","RFA-LM-15-001,RFA-LM-15-002,RFA-LM-15-002,RFA-ES-16-010,RFA-ES-16-010"
10478136,m,w,"10020811,9802530,10478155,10478156,10478158","1230000.0,1230000.0,1070000.0,1070000.0,1070000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"10347760,10569619,10586094,10343347,10557171","802500.0,772500.0,772500.0,802500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9054069,9514739,9514726,9514736,9514752","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"10701905,10132101,10130233,10595421,10739859","396550.0,473550.0,473550.0,411950.0,360500.0","RFA-HL-20-031,RFA-HL-20-031,RFA-HL-20-031,RFA-HL-20-031,RFA-DA-23-015"
10116708,f,w,"8294535,8111203,8534320,8304319,8298229","342500.0,350000.0,342500.0,342500.0,342500.0","RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005"
9080334,m,w,"9323317,9523138,9281681,9313204,9323318","625000.0,625000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7959811,f,h,"8360725,8463005,8322154,8299591,8306748","280000.0,270000.0,274000.0,274000.0,274000.0","RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007"
9114017,m,h,"10619631,10434979,10435287,10444448,10598580","515000.0,535000.0,535000.0,535000.0,515000.0","RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004"
8380038,m,w,"8709275,8045719,8509015,8509017,8509016","3145500.0,3355200.0,3145500.0,3145500.0,3145500.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
8468754,f,w,"10214697,10456832,9763657,9763658,9763659","406000.0,374500.0,430500.0,430500.0,430500.0","RFA-NR-17-004,RFA-NR-17-004,RFA-NR-17-004,RFA-NR-17-004,RFA-NR-17-004"
7737637,m,w,"7737691,7936261,7927151,7930512,7940837","219000.0,216000.0,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
8664703,m,w,"8365072,7961531,7961511,7961512,7961513","3266666.2,3406666.18,3406666.18,3406666.18,3406666.18","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"8675962,8377174,8675964,8473899,8473895","1330000.0,1370000.0,1330000.0,1350000.0,1350000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
8130689,m,w,"8382516,8121491,8121499,8121498,8121496","102750.0,108000.0,108000.0,108000.0,108000.0","RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001"
10495240,m,w,"10600094,9983262,10370410,10138992,10696263","257500.0,307500.0,267500.0,290000.0,1030000.0","RFA-AI-19-023,RFA-AI-19-023,RFA-AI-19-023,RFA-AI-19-023,RFA-HD-21-023"
9787108,m,w,"10581539,10583467,10390333,10390425,10392421","257500.0,257500.0,267500.0,267500.0,267500.0","RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010"
8036022,m,w,"7661516,7676699,7805577,7918923,7900589","292000.0,292000.0,288000.0,288000.0,288000.0","RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042"
10359813,m,w,"10098063,10136115,10559553,10576384,10577777","464000.0,464000.0,412000.0,412000.0,412000.0","RFA-MH-19-130,RFA-MH-19-130,RFA-MH-19-130,RFA-MH-19-130,RFA-MH-19-130"
