APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_wi,APPVAL_RECS_bert-base(para)_o_wi,FOA_RECS_bert-base(para)_o_wi
8427259,m,w,"8731165,8423708,8423712,8423714,8526297","6783000.0,6885000.0,6885000.0,6885000.0,6885000.0","RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006"
8326935,m,w,"8975453,9112981,9142417,9142418,8976672","665000.0,655000.0,665000.0,665000.0,665000.0","RFA-DA-15-008,RFA-DA-15-008,RFA-DA-15-008,RFA-DA-15-008,RFA-DA-15-008"
8501205,m,w,"7898789,8092613,7901234,7927923,7939063","1095000.0,1080000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
9926980,f,h,"9707161,9260378,9259332,9257889,9257605","2187500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
8248226,m,w,"8102837,7645046,8056790,8049152,8053795","420000.0,438000.0,420000.0,420000.0,420000.0","RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003"
10707894,m,a,"10339955,10707894,10413278,10455017,10455099","428000.0,412000.0,522000.0,481500.0,481500.0","RFA-DK-20-506,RFA-DK-20-506,RFA-DK-19-015,RFA-DK-19-015,RFA-DK-19-015"
8134236,m,w,"9354251,8922193,9525243,9085195,9084413","62500.0,66500.0,62500.0,65500.0,65500.0","RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004,RFA-AG-14-004"
10686055,m,w,"8973859,9544959,9984708,9982620,9982485","997500.0,937500.0,922500.0,922500.0,922500.0","RFA-DK-14-013,RFA-DK-14-013,RFA-DK-14-013,RFA-DK-14-013,RFA-DK-14-013"
9405967,f,w,"9618234,9838235,9406880,9270810,9273816","528900.0,528900.0,537500.0,537500.0,537500.0","RFA-HD-17-003,RFA-HD-17-003,RFA-HD-17-003,RFA-HD-17-003,RFA-HD-17-003"
10400683,m,a,"10155564,10625505,9967709,9967710,9967711","290000.0,257500.0,307500.0,307500.0,307500.0","RFA-HD-20-004,RFA-HD-20-004,RFA-HD-20-004,RFA-HD-20-004,RFA-HD-20-004"
9869842,f,w,"9707004,9707377,9707647,9707646,9707463","492000.0,492000.0,492000.0,492000.0,492000.0","RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044,RFA-AI-17-044"
8366078,m,w,"8173739,8173820,8287224,8261748,8322286","72000.0,72000.0,70000.0,70000.0,70000.0","RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002"
10004769,f,w,"9346082,9970264,9345790,9501560,9345791","875000.0,861000.0,875000.0,875000.0,875000.0","RFA-HD-16-017,RFA-HD-16-017,RFA-HD-16-017,RFA-HD-16-017,RFA-HD-16-017"
9996371,m,w,"9520009,9494553,9335144,9319960,9649397","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-013,RFA-CA-15-013,RFA-CA-15-013,RFA-CA-15-013,RFA-CA-15-013"
8136301,m,w,"8540341,8543512,8136285,8263134,8339167","1350000.0,1350000.0,1400000.0,1400000.0,1400000.0","RFA-OD-09-001,RFA-OD-09-001,RFA-OD-09-001,RFA-OD-09-001,RFA-OD-09-001"
7933664,m,w,"7821532,7815889,7827241,7818686,7817295","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003"
10534773,f,w,"10307429,10540310,10306990,10306992,10307277","535000.0,515000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
9469505,m,w,"8862474,9061407,9044568,9068124,9044571","1064000.0,1048000.0,1048000.0,1048000.0,1048000.0","RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002"
10907056,m,a,"10684900,10684865,10552842,10551944,10684751","515000.0,515000.0,535000.0,535000.0,566500.0","RFA-RM-22-005,RFA-RM-22-005,RFA-RM-22-005,RFA-RM-22-005,RFA-RM-22-004"
9589322,m,w,"8473891,8032689,8473901,8473898,8543513","1350000.0,1440000.0,1350000.0,1350000.0,1350000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
8508876,m,w,"8721325,8381801,8043240,8117745,8133871","1330000.0,1370000.0,1440000.0,1400000.0,1400000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
9729348,m,w,"9731082,10160777,10163675,10163674,10160784","92250.0,87000.0,87000.0,87000.0,87000.0","RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004"
9605770,m,w,"8675842,9070600,9132231,9132236,9071407","199500.0,196500.0,196500.0,196500.0,196500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
9119327,m,w,"10236187,10405640,10235783,7665638,7917421","232000.0,214000.0,232000.0,288000.0,288000.0","RFA-ES-20-012,RFA-ES-20-012,RFA-ES-20-012,RFA-ES-08-001,RFA-ES-08-001"
9001791,m,w,"8793492,9349387,9341982,9349385,9351194","332500.0,312500.0,312500.0,312500.0,312500.0","RFA-RM-13-009,RFA-RM-13-009,RFA-RM-13-009,RFA-RM-13-009,RFA-RM-13-009"
8317646,m,w,"8648998,8076096,8609110,8460570,8435532","399000.0,420000.0,405000.0,405000.0,405000.0","RFA-AI-10-003,RFA-AI-10-003,RFA-AI-10-003,RFA-AI-10-003,RFA-AI-10-003"
8625501,m,h,"10452740,9752528,9750259,9750263,9750264","802500.0,922500.0,922500.0,922500.0,922500.0","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
8019083,f,a,"7560052,7763830,7765616,7570701,7578319","292000.0,288000.0,288000.0,292000.0,292000.0","RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002"
9692535,f,w,"9318380,9692542,9686556,9692504,9692533","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
9693080,f,h,"9482280,9484403,9484907,9484908,9484405","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
8876933,m,w,"10437469,10437534,10213480,10271164,10355901","267500.0,267500.0,290000.0,174000.0,160500.0","RFA-CA-19-049,RFA-CA-19-049,RFA-CA-19-049,RFA-CA-20-021,RFA-CA-21-007"
8037174,f,w,"8463995,8376126,8468626,8475553,8463993","1350000.0,1370000.0,1350000.0,1350000.0,1350000.0","RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014"
8181655,f,w,"8015937,8016425,8149961,8147710,8143485","360000.0,360000.0,350000.0,350000.0,350000.0","RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022"
9228821,f,w,"10622057,10622058,10622055,10622054,10622124","2472000.0,2472000.0,2472000.0,2472000.0,2472000.0","RFA-AI-22-003,RFA-AI-22-003,RFA-AI-22-003,RFA-AI-22-003,RFA-AI-22-003"
8457694,m,h,"8457694,8708763,8461762,8720699,8893004","342500.0,332500.0,342500.0,332500.0,332500.0","RFA-AR-12-007,RFA-AR-12-007,RFA-AR-12-007,RFA-AR-12-007,RFA-AR-12-007"
7938853,f,h,"7800067,8112621,8112504,8112629,8287603","335800.0,322000.0,322000.0,322000.0,315100.0","RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001"
9318434,m,w,"9266786,9706081,9267075,9266789,9267086","1250000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8719004,m,h,"10619631,10612456,10598580,10444448,10435287","515000.0,515000.0,515000.0,535000.0,535000.0","RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004"
10070075,m,w,"10580873,10308514,10659359,10659362,10659363","428000.0,428000.0,428000.0,428000.0,428000.0","RFA-AI-20-021,RFA-AI-20-021,RFA-AI-20-021,RFA-AI-20-021,RFA-AI-20-021"
10416003,f,w,"10450784,9940782,9760004,9760007,9762983","267500.0,307500.0,307500.0,307500.0,307500.0","RFA-NR-17-002,RFA-NR-17-002,RFA-NR-17-002,RFA-NR-17-002,RFA-NR-17-002"
10149646,f,w,"10147510,10149085,10134078,10128854,10147571","86100.0,86100.0,86100.0,86100.0,86100.0","RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012"
9542406,m,w,"8902969,9334337,9335721,9335727,9334338","931000.0,875000.0,875000.0,875000.0,875000.0","RFA-TW-13-001,RFA-TW-13-001,RFA-TW-13-001,RFA-TW-13-001,RFA-TW-13-001"
7931753,m,w,"8463638,8440304,8655405,8633750,8628500","675000.0,675000.0,675000.0,675000.0,675000.0","RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003"
9282289,f,w,"8528666,8528670,8528675,8452711,8449998","202500.0,202500.0,202500.0,202500.0,202500.0","RFA-HG-09-003,RFA-HG-09-003,RFA-HG-09-003,RFA-HG-09-003,RFA-HG-09-003"
8359692,m,w,"8168413,8359716,8360522,8360520,8360518","288000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007"
8625413,m,w,"9728929,9539637,9734062,9734064,9734065","922500.0,937500.0,922500.0,922500.0,922500.0","RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10021244,f,w,"10135020,9685871,9691284,9686731,9686726","1739999.9999999998,1845000.0,1845000.0,1845000.0,1845000.0","RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014"
9393649,m,w,"9592891,9752514,9987628,9752530,9752529","937500.0,922500.0,922500.0,922500.0,922500.0","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
9257419,f,w,"8324839,8109318,7851429,7851428,7630609","1155000.0,1188000.0,1204500.0,1204500.0,1204500.0","RFA-ES-06-012,RFA-ES-06-012,RFA-ES-06-012,RFA-ES-06-012,RFA-ES-06-012"
9186640,f,w,"10290852,10480949,10480956,10480957,10480959","464000.0,428000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
9547644,m,w,"10705640,10703371,10404416,10689961,10689963","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001"
7787758,m,w,"8829832,9206332,9303528,9303531,9322735","2394000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
9978686,f,w,"9737783,10163762,9925783,10449365,9580260","430500.0,406000.0,430500.0,374500.0,437500.0","RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008"
8672642,f,w,"10543752,10307483,10307481,10307474,10307473","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
10675746,f,a,"10145678,9260647,9255140,9542622,9259581","2030000.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
7816432,m,w,"7689346,7837600,7565124,7568134,7566677","576000.0,576000.0,584000.0,584000.0,584000.0","RFA-FD-08-001,RFA-FD-08-001,RFA-FD-08-001,RFA-FD-08-001,RFA-FD-08-001"
7997152,m,w,"7586207,8469752,8733920,8668765,8665891","292000.0,337500.0,337500.0,332500.0,332500.0","RFA-DE-08-004,RFA-DE-10-001,RFA-DE-10-001,RFA-DE-10-001,RFA-DE-10-001"
8377050,m,w,"7882490,7664350,7653633,7669429,7677956","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019"
9278724,m,a,"10111500,9430398,10134927,9278828,9277914","580000.0,625000.0,580000.0,625000.0,625000.0","RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002"
7853372,f,w,"7932315,7838084,7818686,7817295,7821838","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003"
10393674,f,h,"9266360,9269142,9266358,9262838,9265798","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060"
10426145,m,w,"10454845,9939387,10212849,10212848,10212847","2407500.0,2767500.0,2610000.0,2610000.0,2610000.0","RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012"
10260511,f,w,"9953962,10212850,10213637,10213638,10213639","2767500.0,2610000.0,2610000.0,2610000.0,2610000.0","RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012,RFA-AG-18-012"
10707971,m,b,"9972759,9146146,9146207,9146144,9146142","1845000.0,1965000.0,1965000.0,1965000.0,1965000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
9478451,m,w,"9381160,9381126,10249151,10250499,10251215","312500.0,312500.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
8611916,m,w,"9070600,8464070,8893056,8882398,8894491","196500.0,202500.0,199500.0,199500.0,199500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
8450250,m,w,"10136009,9538740,9544227,9537569,9520143","2030000.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
7938809,m,w,"7961441,8133799,7991518,7991430,8086125","73000.0,70000.0,72000.0,72000.0,72000.0","RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002"
8705391,m,w,"10676785,10455091,10615221,10615219,10615217","515000.0,535000.0,515000.0,515000.0,515000.0","RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003"
8211337,f,w,"8210862,8333296,8333297,8332283,8333303","490000.0,479500.00000000006,479500.00000000006,479500.00000000006,479500.00000000006","RFA-DE-12-001,RFA-DE-12-001,RFA-DE-12-001,RFA-DE-12-001,RFA-DE-12-001"
8876650,m,w,"10407866,10407761,10407844,10407843,10407842","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9737974,f,a,"9145756,9309035,9322571,9322574,9313301","982500.0,937500.0,937500.0,937500.0,937500.0","RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010,RFA-HD-15-010"
8380869,m,w,"8875604,9276579,9491684,9515736,9517717","3990000.0,3750000.0,3750000.0,3750000.0,3750000.0","RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023"
8235235,f,w,"8460650,8707506,8330158,8308626,8328702","1027500.0,997500.0,1027500.0,1027500.0,1027500.0","RFA-HD-09-004,RFA-HD-09-004,RFA-HD-09-004,RFA-HD-09-004,RFA-HD-09-004"
9110809,m,b,"9285910,9913459,9471331,9471789,9471332","625000.0,615000.0,625000.0,625000.0,625000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
7928820,m,w,"9527916,8501391,8501394,8522176,8522179","937500.0,1012500.0,1012500.0,1012500.0,1012500.0","RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003"
9229818,m,w,"9355570,10085209,9229818,9229829,9229898","62500.0,57999.99999999999,65500.0,65500.0,65500.0","RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005"
9952381,f,w,"10000244,9811315,10305191,9811952,9986920","799500.0,799500.0,754000.0,799500.0,799500.0","RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028"
8517254,f,h,"8501018,8501015,8501016,8501013,8501020","3145500.0,3145500.0,3145500.0,3145500.0,3145500.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
9707164,m,a,"9687717,9942440,9922933,9922935,9922936","2152500.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9526967,m,w,"9054068,9267082,9266784,9267075,9266789","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8830597,f,w,"8402111,7762835,7743493,7741233,7765616","270000.0,288000.0,288000.0,288000.0,288000.0","RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002,RFA-AI-05-002"
8432558,f,b,"8601687,8990810,9132492,8787447,8823717","4655000.0,4585000.0,4655000.0,4655000.0,4655000.0","RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002"
9267945,m,w,"8227762,8331304,8331859,8333868,8221511","700000.0,685000.0,685000.0,685000.0,700000.0","RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002"
10686097,f,w,"9883639,9783884,10402255,9929454,10038590","430500.0,430500.0,374500.0,430500.0,430500.0","RFA-MD-18-004,RFA-MD-18-004,RFA-MD-18-004,RFA-MD-18-004,RFA-MD-18-004"
8574506,m,w,"8675840,8334758,8893058,8893052,8882396","199500.0,205500.00000000003,199500.0,199500.0,199500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10044533,f,a,"10265426,10684286,10684279,10684277,10683996","928000.0,824000.0,824000.0,824000.0,824000.0","RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034"
7937968,f,b,"7938731,7943889,7943951,7944004,7941872","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003"
8527853,m,w,"8728671,8261797,8705294,8338911,8339359","399000.0,420000.0,399000.0,411000.00000000006,411000.00000000006","RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006"
9548409,f,w,"8660859,9548409,8858137,8924793,9132020","337500.0,1250000.0,1330000.0,1330000.0,1310000.0","RFA-FD-13-022,RFA-FD-14-024,RFA-FD-14-024,RFA-FD-14-024,RFA-FD-14-024"
8711728,m,w,"8677231,8711769,8231178,8231623,8711772","337500.0,337500.0,350000.0,350000.0,337500.0","RFA-RM-10-005,RFA-RM-10-005,RFA-RM-10-005,RFA-RM-10-005,RFA-RM-10-005"
10672705,m,w,"10672795,10673358,10673357,10673356,10673354","772500.0,772500.0,772500.0,772500.0,772500.0","RFA-DK-22-011,RFA-DK-22-011,RFA-DK-22-011,RFA-DK-22-011,RFA-DK-22-011"
10665942,m,w,"10271164,10300626,10173111,10410374,10421358","174000.0,232000.0,232000.0,214000.0,214000.0","RFA-CA-20-021,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005"
8872957,m,w,"10470281,10704640,10289785,10289784,10285670","428000.0,412000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
9267910,m,w,"9927566,9272321,9076093,9075452,9075450","14145000.0,14375000.0,15065000.0,15065000.0,15065000.0","RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009"
9319725,m,w,"10582231,10582232,10582230,10576212,10576213","772500.0,772500.0,772500.0,772500.0,772500.0","RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026"
7892977,f,w,"8069385,8321591,8153856,8144930,8144929","1440000.0,1370000.0,1400000.0,1400000.0,1400000.0","RFA-DA-10-018,RFA-DA-10-018,RFA-DA-10-018,RFA-DA-10-018,RFA-DA-10-018"
7941808,f,h,"7815787,7939805,7937894,7940810,7943070","1460000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003"
9352694,f,a,"8915543,8495366,8495369,8919716,8495377","285950.0,290250.0,290250.0,285950.0,290250.0","RFA-HD-10-002,RFA-HD-10-002,RFA-HD-10-002,RFA-HD-10-002,RFA-HD-10-002"
8173807,m,w,"8173821,8365173,8173848,8173849,8173850","72000.0,70000.0,72000.0,72000.0,72000.0","RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002"
9930147,f,w,"9693072,10406320,10147141,9949786,9949783","7330800.0,6377200.0,6913599.999999999,7330800.0,7330800.0","RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014"
8726320,f,w,"10638756,9951915,10417361,10241274,10932496","749000.0,861000.0,812000.0,812000.0,721000.0","RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013"
8033868,f,w,"8541756,8034132,8318379,8265763,8323619","2025000.0,2160000.0,2100000.0,2100000.0,2100000.0","RFA-CA-09-032,RFA-CA-09-032,RFA-CA-09-032,RFA-CA-09-032,RFA-CA-09-032"
7782768,m,w,"8681356,8683100,8501371,8501370,8496714","199500.0,199500.0,202500.0,202500.0,202500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
9987626,m,a,"9380709,9723825,10241467,10241468,9724635","937500.0,937500.0,869999.9999999999,869999.9999999999,937500.0","RFA-DK-16-032,RFA-DK-16-032,RFA-DK-16-032,RFA-DK-16-032,RFA-DK-16-032"
10335887,m,w,"9553745,9694678,9996277,9979433,9977589","2187500.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
8830369,f,w,"10167033,10167037,10610205,10610206,10610207","1160000.0,1160000.0,1030000.0,1030000.0,1030000.0","RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006"
9162008,f,w,"8472506,7725738,8510693,8119820,7912897","675000.0,730000.0,675000.0,720000.0,720000.0","RFA-HD-08-008,RFA-HD-08-008,RFA-HD-08-008,RFA-HD-08-008,RFA-HD-08-008"
10164172,f,w,"10401905,10616551,10221915,10642915,10631942","802500.0,772500.0,869999.9999999999,772500.0,772500.0","RFA-NS-20-030,RFA-NS-20-030,RFA-NS-20-030,RFA-NS-20-030,RFA-NS-20-030"
8081296,m,w,"8173748,8364987,7878899,7878905,7878910","3359999.52,3266666.2,3406666.18,3406666.18,3406666.18","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
9364332,m,w,"10092409,10438842,10265544,10263366,10263309","307500.0,267500.0,290000.0,290000.0,290000.0","RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039"
8865707,m,w,"8547113,8709001,9293391,9288227,9285871","270000.0,266000.0,250000.0,250000.0,250000.0","RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008"
8507238,m,w,"7798364,7942025,8321593,8323540,8323512","642400.0,633600.0,602800.0,602800.0,602800.0","RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014"
7798138,m,w,"7787768,7787766,7618057,7618056,7618050","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
9525227,f,h,"9514736,9706079,9750583,9514735,9514749","1250000.0,1230000.0,1230000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
9589949,f,h,"9811985,9812006,9811759,9811532,9811224","92250.0,92250.0,92250.0,92250.0,92250.0","RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021"
8391974,m,w,"8378198,8298255,8150919,8150916,8144954","1027500.0,1027500.0,1050000.0,1050000.0,1050000.0","RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013"
10646261,m,w,"10544315,10056071,10350586,10350583,10350585","1287500.0,1450000.0,1337500.0,1337500.0,1337500.0","RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002"
9750733,f,h,"8965394,9320896,9323390,9763355,9763354","931000.0,875000.0,875000.0,861000.0,861000.0","RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008"
10758084,m,w,"9784885,9784886,9604173,9604171,9604170","1476000.0,1476000.0,1500000.0,1500000.0,1500000.0","RFA-HD-18-012,RFA-HD-18-012,RFA-HD-18-012,RFA-HD-18-012,RFA-HD-18-012"
9519802,f,b,"9337600,8628422,8617784,8864687,8926488","15065000.0,15525000.000000002,15295000.0,15295000.0,15295000.0","RFA-AG-12-001,RFA-AG-12-001,RFA-AG-12-001,RFA-AG-12-001,RFA-AG-12-001"
10624199,f,w,"9990555,9750702,9548491,9548493,9987224","799500.0,799500.0,812500.0,812500.0,799500.0","RFA-DK-15-021,RFA-DK-15-021,RFA-DK-15-021,RFA-DK-15-021,RFA-DK-15-021"
8566006,m,w,"8698730,8507223,8325284,8325285,8325286","997500.0,1012500.0,1050000.0,1050000.0,1050000.0","RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013"
