APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_w,APPVAL_RECS_bert-xx_r_w,FOA_RECS_bert-xx_r_w
8659443,m,w,"8105727,7796711,8118649,8115467,7761263","288000.0,288000.0,288000.0,288000.0,288000.0","RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006"
9706081,f,a,"10092367,10094836,10700147,10704748,10266123","614998.77,614998.77,514998.97,514998.97,579998.84","RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017"
8698446,m,w,"8951512,9533890,9324029,9747330,9114642","357770.0,336250.0,336250.0,330870.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"8208998,8149895,8073856,8074191,8074819","342500.0,350000.0,360000.0,360000.0,360000.0","RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005"
9527838,m,w,"9524981,9360016,9788544,9788545,9788546","1875000.0,1875000.0,1845000.0,1845000.0,1845000.0","RFA-NS-16-023,RFA-NS-16-023,RFA-NS-16-023,RFA-NS-16-023,RFA-NS-16-023"
9994751,m,w,"7658832,7681689,7658743,7686303,7667758","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"9391482,9732473,9753179,9546697,9532809","250000.0,246000.0,246000.0,250000.0,250000.0","RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023"
9355575,m,w,"9337098,9193834,9347270,9336090,9193994","250000.0,262000.0,250000.0,250000.0,262000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10290852,10704634,10285670,10285669,10285667","464000.0,412000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"9609755,9971336,9610195,9609377,9783705","500000.0,492000.0,500000.0,500000.0,492000.0","RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007"
9561922,m,w,"7677989,7677986,7677984,7668684,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
8710052,m,w,"8065747,7695547,7692251,8722121,8876643","1080000.0,1095000.0,1095000.0,266000.0,266000.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-DE-14-002,RFA-DE-14-002"
10116392,f,w,"9882999,9870928,10088444,10304211,9626424","430500.0,430500.0,406000.0,406000.0,430500.0","RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001"
9552433,m,b,"9797669,9998035,10007884,10171877,10226048","1230000.0,1230000.0,1230000.0,1160000.0,1160000.0","RFA-RM-18-020,RFA-RM-18-020,RFA-RM-18-020,RFA-RM-18-020,RFA-RM-18-020"
8907762,m,h,"7935567,7692305,7911689,7911680,7692302","511000.0,511000.0,360000.0,360000.0,365000.0","RFA-RM-07-016,RFA-RM-07-016,RFA-RM-07-015,RFA-RM-07-015,RFA-RM-07-015"
7691839,f,w,"8605628,8988580,8802882,8802881,8791700","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
7914250,m,w,"10677598,10429878,9069919,8174336,8174662","283250.0,294250.0,150650.0,161000.0,161000.0","RFA-HL-22-002,RFA-HL-22-002,RFA-HL-11-013,RFA-HL-11-013,RFA-HL-11-013"
8903741,f,w,"8793019,9332090,8793022,8919187,8919188","9975000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"10016614,9408088,9565476,9564824,10019108","307500.0,312500.0,312500.0,312500.0,307500.0","RFA-AA-17-015,RFA-AA-17-015,RFA-AA-17-015,RFA-AA-17-015,RFA-AA-17-015"
10302868,f,w,"9551478,9366140,9369141,9369129,9369191","93750.0,93750.0,93750.0,93750.0,93750.0","RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012"
8070452,m,w,"7688864,8376331,8377182,8378423,8376569","657000.0,616500.0,616500.0,616500.0,616500.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"8554393,8554931,8806614,8800580,8473040","266000.0,266000.0,266000.0,266000.0,274000.0","RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010"
10223141,f,w,"8975581,8782594,9392124,9389475,9605108","6855666.23,6960332.890000001,6541666.25,6541666.25,6436999.59","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
10573185,m,w,"8728236,8728858,8598612,8599113,8904013","266000.0,266000.0,270000.0,270000.0,266000.0","RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007"
