APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_r_wi,APPVAL_RECS_biobert_r_wi,FOA_RECS_biobert_r_wi
10478136,m,w,"9550912,9145794,9114674,9115048,9114136","1562500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9514739,9706079,9514735,9750583,9750582","1250000.0,1230000.0,1250000.0,1230000.0,1230000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"8471084,8010367,8494030,8479331,8494028","675000.0,675000.0,675000.0,675000.0,675000.0","RFA-DA-10-001,RFA-DA-10-001,RFA-DA-10-001,RFA-DA-10-001,RFA-DA-10-001"
10116708,f,w,"7960574,8360728,8139872,8359674,8359672","292000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007"
9080334,m,w,"10183171,9908055,9718539,9718540,9718541","580000.0,615000.0,615000.0,615000.0,615000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7959811,f,h,"10702222,10702230,10702214,10702117,10702050","721000.0,721000.0,721000.0,721000.0,721000.0","RFA-RM-22-018,RFA-RM-22-018,RFA-RM-22-018,RFA-RM-22-018,RFA-RM-22-018"
9114017,m,h,"9287851,10131128,10132968,10134988,10134991","625000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8655192,8101318,8365151,8101299,8365135","6650000.0,7000000.0,7000000.0,7000000.0,7000000.0","RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004"
8468754,f,w,"10618316,10426961,7901634,7896848,7631353","535600.0,556400.0,720000.0,720000.0,730000.0","RFA-HL-22-007,RFA-HL-22-007,RFA-HL-06-002,RFA-HL-06-002,RFA-HL-06-002"
7737637,m,w,"8843779,9263887,9038249,8705846,9222699","199500.0,187500.0,196500.0,199500.0,187500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-14-006"
8664703,m,w,"7920737,8173702,7937879,8173877,8173878","6935000.0,6840000.0,6840000.0,6840000.0,6840000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"7848533,10459581,10288585,10288582,10684021","292000.0,1070000.0,1160000.0,1160000.0,1030000.0","RFA-NS-07-002,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
8130689,m,w,"9812105,10470432,9975112,10483185,7683100","799500.0,754000.0,799500.0,695500.0,365000.0","RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-07-003"
10495240,m,w,"9260039,9283606,9513619,9492681,8901254","937500.0,937500.0,937500.0,937500.0,997500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
9787108,m,w,"10583982,10581838,10581946,10583428,10583437","206000.0,206000.0,206000.0,206000.0,206000.0","RFA-AG-23-002,RFA-AG-23-002,RFA-AG-23-002,RFA-AG-23-002,RFA-AG-23-002"
8036022,m,w,"9485951,9102137,9300928,8703980,8703891","625000.0,655000.0,625000.0,665000.0,665000.0","RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007,RFA-GM-14-007"
10359813,m,w,"9287024,10093134,9982445,9851000,10152382","625000.0,580000.0,615000.0,615000.0,535000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
9753241,m,w,"9340044,9339963,9339899,9339893,9689448","250000.0,250000.0,250000.0,250000.0,246000.0","RFA-ES-16-006,RFA-ES-16-006,RFA-ES-16-006,RFA-ES-16-006,RFA-ES-17-004"
8659443,m,w,"8229848,8229227,8514610,8514609,8335408","280000.0,280000.0,270000.0,270000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"10094836,10700147,10266123,10266124,10704748","614998.77,514998.97,579998.84,579998.84,514998.97","RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017"
8698446,m,w,"9114642,9324029,9747330,9533890,8951512","352390.0,336250.0,330870.0,336250.0,357770.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"8774029,9245571,9275265,9275869,9262763","332500.0,312500.0,312500.0,312500.0,312500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9527838,m,w,"7676892,7676891,7933921,7936245,8032877","2190000.0,2190000.0,2160000.0,2160000.0,2160000.0","RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007,RFA-MH-06-007"
9994751,m,w,"10486041,9811952,9811315,10376602,10305191","695500.0,799500.0,799500.0,754000.0,754000.0","RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028,RFA-RM-18-028"
10216205,m,w,"10688715,10688981,10246113,10244755,10244405","284038.98,284038.98,348000.0,348000.0,348000.0","RFA-CA-22-017,RFA-CA-22-017,RFA-RM-20-012,RFA-RM-20-012,RFA-RM-20-012"
9355575,m,w,"9336089,9337096,9336635,9336634,9347271","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10407837,10407843,10408485,10408484,10408481","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
8132845,m,w,"8640771,9115721,8742026,8742023,8738584","337500.0,327500.0,332500.0,332500.0,332500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
9561922,m,w,"8043433,8144787,8036571,8486608,8150960","288000.0,280000.0,288000.0,280000.0,280000.0","RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002"
8710052,m,w,"8929528,8929882,9000677,9015418,9325482","266000.0,266000.0,262000.0,262000.0,250000.0","RFA-CA-14-005,RFA-CA-14-005,RFA-CA-14-005,RFA-CA-14-005,RFA-CA-14-005"
10116392,f,w,"8889482,8828195,9303532,9322733,9206332","2394000.0,2394000.0,2358000.0,2358000.0,2358000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
9552433,m,b,"8784175,8914169,9119535,8530163,8391950","1223600.0,1223600.0,1205200.0,1242000.0,1260400.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"9564668,9778524,9564670,9564667,9783808","1250000.0,1230000.0,1250000.0,1250000.0,1230000.0","RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010"
7691839,f,w,"9138157,9700686,9702848,9702847,9702846","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
7914250,m,w,"9542681,9999437,9519788,8880119,8868932","2187500.0,2152500.0,2187500.0,2327500.0,2327500.0","RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006"
8903741,f,w,"10241457,9485726,9485706,10188342,9990636","290000.0,312500.0,312500.0,290000.0,307500.0","RFA-AA-17-016,RFA-AA-17-016,RFA-AA-17-016,RFA-AA-17-016,RFA-AA-17-016"
10207339,m,a,"7924518,7652453,7681785,7888746,8137313","360000.0,365000.0,365000.0,365000.0,350000.0","RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020"
10302868,f,w,"10450709,10474623,10302785,10302751,10302672","107000.0,107000.0,116000.0,116000.0,116000.0","RFA-AG-21-023,RFA-AG-21-023,RFA-AG-21-023,RFA-AG-21-023,RFA-AG-21-023"
8070452,m,w,"10429917,9917681,9917685,9920102,9920104","267500.0,307500.0,307500.0,307500.0,307500.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
9551105,m,w,"10744965,10534678,9391032,9391031,9390979","1339000.0,772500.0,937500.0,937500.0,937500.0","RFA-NS-22-030,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001"
10223141,f,w,"9964655,9323664,10174706,10174707,10174708","1230000.0,1250000.0,1160000.0,1160000.0,1160000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"8659468,8659470,8064124,8064130,8098330","2394000.0,2394000.0,2520000.0,2520000.0,2520000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
9257399,f,w,"10015282,10430118,9814451,9814449,10176493","861000.0,749000.0,861000.0,861000.0,812000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
8518235,f,w,"8638069,8810699,8893150,8730229,8843547","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030"
8318381,m,w,"8651533,9055778,8829321,8843054,8831722","332500.0,327500.0,332500.0,332500.0,332500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"9735276,9459934,9689555,9690087,9690122","922500.0,937500.0,922500.0,922500.0,922500.0","RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002"
8120588,m,w,"9433601,9673609,9223662,9022397,8892604","1250000.0,1230000.0,1250000.0,1310000.0,1330000.0","RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055"
9548127,m,w,"9356536,9355680,9544716,9548127,9355673","1000000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"8141235,8320216,8536794,7789192,7932712","700000.0,685000.0,675000.0,730000.0,720000.0","RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004"
7691735,f,w,"9381292,8706933,8517790,8662805,8527852","399000.0,399000.0,405000.0,399000.0,405000.0","RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197,RFA-HD-12-197"
8789173,m,h,"10132456,9939708,9924365,9924366,9924368","580000.0,615000.0,615000.0,615000.0,615000.0","RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
9527152,m,a,"9702001,9749167,9577979,9577443,8618274","1845000.0,1845000.0,1875000.0,1875000.0,303750.0","RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-13-003"
10217030,f,w,"10091323,10217030,10250532,10475677,10091568","276750.0,261000.0,580000.0,535000.0,615000.0","RFA-MH-20-521,RFA-MH-20-521,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"8119685,8308465,8308466,8521355,8521356","735000.0,719250.0,719250.0,708750.0,708750.0","RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006"
8787984,m,w,"10653916,10665020,10438915,10438916,10438917","1854000.0,1854000.0,1926000.0,1926000.0,1926000.0","RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020"
7921782,f,b,"7642330,7768334,8670008,8277402,8625821","365000.0,365000.0,141312.5,143437.5,141312.5","RFA-HL-04-035,RFA-HL-04-035,RFA-HL-10-013,RFA-HL-10-013,RFA-HL-10-013"
9222148,f,w,"7741669,7992457,7994756,7991864,7992459","79200.0,77000.0,77000.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9674467,m,w,"9260360,9259338,10146394,10146395,10179377","2187500.0,2187500.0,2030000.0,2030000.0,2030000.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"8711927,7674747,7846879,7625207,7677362","1330000.0,438000.0,420000.0,438000.0,438000.0","RFA-MD-13-005,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004"
10480740,m,w,"9517978,9514445,9747101,9751091,9751651","393750.0,393750.0,387450.0,387450.0,387450.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"9762893,9710664,9313000,9312973,9312969","922500.0,922500.0,937500.0,937500.0,937500.0","RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019"
10241405,m,w,"9264485,8724033,9699368,9050643,9251256","1062500.0,1130500.0,1045500.0,1113500.0,1062500.0","RFA-CA-13-006,RFA-CA-13-006,RFA-CA-13-006,RFA-CA-13-006,RFA-CA-13-006"
8300031,f,w,"9771300,9353304,9353724,9356312,9354175","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001"
