APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_w,APPVAL_RECS_biomedbert_o_w,FOA_RECS_biomedbert_o_w
8870884,m,h,"10597362,10708919,10706421,10706418,10597899","1070000.0,1030000.0,1030000.0,1030000.0,1070000.0","RFA-MD-22-007,RFA-MD-22-007,RFA-MD-22-007,RFA-MD-22-007,RFA-MD-22-007"
9150566,m,w,"9319291,9293300,9044009,9044406,9488009","187500.0,187500.0,199500.0,199500.0,187500.0","RFA-HG-14-008,RFA-HG-14-008,RFA-HG-14-008,RFA-HG-14-008,RFA-HG-14-008"
10478136,m,w,"10645045,10645044,10463800,10463799,10463798","1030000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"8460114,7679779,8063939,8063040,7746209","2025000.0,2190000.0,2100000.0,2100000.0,2190000.0","RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013"
8309064,f,w,"9753097,9977803,9977088,9977089,9977091","1353000.0,1353000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
10744343,f,a,"8015211,7742160,7514974,8417684,8213578","1050000.0,1080000.0,1095000.0,1012500.0,1027500.0","RFA-DC-08-002,RFA-DC-08-002,RFA-DC-08-002,RFA-DC-08-002,RFA-DC-08-002"
10116708,f,w,"10117883,10413819,10117891,10117817,10117521","57999.99999999999,53500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001"
9080334,m,w,"9991750,9087466,9323313,9281684,9313207","615000.0,655000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7959811,f,h,"8168418,8360159,8359779,8359780,8130872","288000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007"
9114017,m,h,"10434979,10435287,10444448,10598580,10612456","535000.0,535000.0,535000.0,515000.0,515000.0","RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004,RFA-AI-21-004"
8380038,m,w,"8541877,8381698,8381660,8381662,8380041","3145500.0,3192100.0000000005,3192100.0000000005,3192100.0000000005,3192100.0000000005","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
8468754,f,w,"9151629,9015857,9546829,9755478,9344670","196500.0,199500.0,187500.0,184500.0,187500.0","RFA-HL-15-031,RFA-HL-15-031,RFA-HL-15-031,RFA-HL-15-031,RFA-HL-15-031"
7737637,m,w,"8006864,8469752,7999031,8775130,8197146","360000.0,337500.0,350000.0,332500.0,342500.0","RFA-DE-10-001,RFA-DE-10-001,RFA-DE-10-001,RFA-DE-10-001,RFA-DE-10-001"
8664703,m,w,"7907866,7961388,8265018,8324113,8330026","72000.0,73000.0,70000.0,70000.0,70000.0","RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002"
8377171,m,w,"7582243,8664185,8079051,7912418,7673872","365000.0,350000.0,350000.0,365000.0,365000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"9149299,9149302,9149298,9149306,9149301","6550000.0,6550000.0,6550000.0,6550000.0,6550000.0","RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003"
10495240,m,w,"8551682,8607976,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9787108,m,w,"10251928,10249228,10544177,10650876,10685549","57999.99999999999,57999.99999999999,51500.0,51500.0,51500.0","RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009"
8036022,m,w,"7805577,7640777,7670344,7676699,7612039","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042"
10359813,m,w,"10292992,10064152,10831117,9924195,9319995","535000.0,580000.0,515000.0,615000.0,250000.0","RFA-MH-20-110,RFA-MH-20-110,RFA-MH-20-110,RFA-MH-20-110,RFA-MH-17-400"
9753241,m,w,"9118277,9750733,9751874,9751873,9751872","917000.0,861000.0,861000.0,861000.0,861000.0","RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008"
8659443,m,w,"8263161,8461587,9043076,9043078,9043067","2466000.0,2430000.0,2358000.0,2358000.0,2358000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9706081,f,a,"9472239,8829089,9053395,9067185,9053406","1250000.0,1330000.0,1310000.0,1310000.0,1310000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8698446,m,w,"8951512,9533890,9747330,9324029,9114642","357770.0,336250.0,330870.0,336250.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"9932828,9932826,10147766,9982105,9982103","1168500.0,1168500.0,1102000.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9527838,m,w,"9605796,10307140,10533502,10533203,10533079","922500.0,802500.0,802500.0,802500.0,802500.0","RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001"
9994751,m,w,"9488018,9142957,9138522,9141543,9141056","312500.0,327500.0,327500.0,327500.0,327500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
10216205,m,w,"9553704,9746697,9382207,9382042,9381725","125000.0,123000.0,125000.0,125000.0,125000.0","RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015"
9355575,m,w,"9355575,9339637,9336635,9565523,9567509","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10588840,10588656,10588069,10588070,10588071","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029"
