APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_o_w,APPVAL_RECS_spanbert_o_w,FOA_RECS_spanbert_o_w
9781466,m,w,"9088203,9514733,9514726,9514736,9514752","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8060626,m,w,"9961916,9960806,9961913,9961911,9961909","1230000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9570704,10153467,10215263,10215250,10215248","1187500.0,1102000.0,1102000.0,1102000.0,1102000.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10308184,10067500,10064093,10067495,10067496","1337500.0,1450000.0,1450000.0,1450000.0,1450000.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"9959330,10626809,10612118,10612117,10612116","615000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8854119,8081510,8251942,8251931,8251935","266000.0,280000.0,274000.0,274000.0,274000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"10267723,10684730,10117747,10465187,10127119","464000.0,412000.0,492000.0,428000.0,984000.0","RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-003"
9960850,m,w,"8147770,7786663,7939696,7939728,7939698","280000.0,292000.0,288000.0,288000.0,288000.0","RFA-AG-09-011,RFA-AG-09-011,RFA-AG-09-011,RFA-AG-09-011,RFA-AG-09-011"
8119772,m,w,"8145078,8306346,8318269,8599512,7647008","1008000.0,959000.0,959000.0,945000.0,1022000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
9998967,m,w,"9141785,9141938,9142948,9142822,9142584","327500.0,327500.0,327500.0,327500.0,327500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9935976,f,w,"8729741,8607976,8431983,8813609,9211357","299250.0,664998.67,674998.65,664998.67,624998.75","RFA-MH-14-182,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8868954,8550801,8913107,8414034,8413975","997500.0,1012500.0,997500.0,1027500.0,1027500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
10518914,m,w,"9627278,9627377,10441646,9627727,9627418","2000000.0,2000000.0,1856000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
10770832,f,w,"8876643,8722121,10738080,10352461,10211467","266000.0,266000.0,309000.0,214000.0,232000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-23-009,RFA-DE-20-007,RFA-DE-20-007"
8380026,m,w,"10476584,10704644,10289786,10289785,10289784","428000.0,412000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10592409,f,w,"9927977,9897492,10579863,10579861,10142922","184500.0,184500.0,154500.0,154500.0,184500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"8725571,8724343,8565991,8566312,8565628","266000.0,266000.0,270000.0,270000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9592088,m,a,"10206115,10471824,10460957,10460959,10460960","869999.9999999999,802500.0,802500.0,802500.0,802500.0","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"9320704,9067248,8846544,8846541,8846546","1250000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"10177830,9320174,10134972,9869047,9905327","869999.9999999999,937500.0,869999.9999999999,922500.0,922500.0","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10307430,10540307,10534776,10533771,10533765","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"8911300,8535751,8728845,8715797,8715796","66500.0,67500.0,66500.0,66500.0,66500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8167474,8360268,7891994,8360273,8360272","288000.0,280000.0,292000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"10518992,10516667,10518585,10518677,10518756","107000.0,107000.0,107000.0,107000.0,107000.0","RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027"
10406304,f,w,"8929335,9133937,9559435,9559441,9559429","332500.0,327500.0,312500.0,312500.0,312500.0","RFA-RM-13-019,RFA-RM-13-019,RFA-RM-13-019,RFA-RM-13-019,RFA-RM-13-019"
9987453,f,w,"7664374,7908066,7895795,10433951,10380776","2628000.0,2628000.0,2592000.0,321000.0,321000.0","RFA-AG-07-003,RFA-AG-07-003,RFA-AG-07-003,RFA-AG-21-002,RFA-AG-21-002"
