APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_wi,APPVAL_RECS_bert-xx_r_wi,FOA_RECS_bert-xx_r_wi
8698446,m,w,"7768331,7936083,8698446,8712537,8298979","781100.0,770400.0,711550.0,711550.0,732950.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"10659198,10474231,10666482,10709516,10701728","515000.0,535000.0,515000.0,515000.0,515000.0","RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004"
9527838,m,w,"10515457,10515569,10673857,10698166,10509428","533930.0,533930.0,513970.0,513970.0,533930.0","RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006"
9994751,m,w,"7939044,7681689,7658743,7658836,7683733","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"8326059,8078440,8155178,8035156,8325038","274000.0,280000.0,280000.0,280000.0,274000.0","RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001"
9355575,m,w,"9559642,9560704,9368956,9337097,9339637","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"9782894,9354446,9353767,9354477,9354483","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8132845,m,w,"8916197,8742024,8742023,8738584,8739332","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
9561922,m,w,"10588974,10579071,10588975,10588973,10588962","437750.0,437750.0,437750.0,437750.0,437750.0","RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027"
8710052,m,w,"10700076,10487531,10330342,10330219,10690696","514998.97,534998.93,579998.84,579998.84,514998.97","RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054"
