APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_wi,APPVAL_RECS_bert-xx_r_wi,FOA_RECS_bert-xx_r_wi
9720200,m,w,"10663982,10615212,10615219,10615221,10663977","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003"
8141156,f,w,"10694066,10533521,9748878,9748886,9748873","1030000.0,1070000.0,984000.0,984000.0,984000.0","RFA-HD-22-022,RFA-HD-22-022,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
8897974,f,h,"9674814,10107752,10656178,10656180,10656182","184500.0,174000.0,154500.0,154500.0,154500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
7688873,m,w,"7896932,7687682,7686497,7686495,7686493","657000.0,657000.0,657000.0,657000.0,657000.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9475176,m,w,"9512632,9932272,9001587,9323220,9699998","625000.0,615000.0,655000.0,625000.0,615000.0","RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018"
8033334,f,a,"8311712,8501585,8382159,8308479,8501597","1027500.0,1012500.0,1027500.0,1027500.0,1012500.0","RFA-HD-09-012,RFA-HD-09-012,RFA-HD-09-012,RFA-HD-09-012,RFA-HD-09-012"
7941822,m,w,"9831503,10219251,10017222,10643990,10024060","246000.0,232000.0,246000.0,515000.0,615000.0","RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-022,RFA-AG-19-022"
9319157,m,b,"9170244,9170079,9485316,9491692,9518530","458500.0,458500.0,437500.0,437500.0,437500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
10190901,m,w,"9923626,9721081,9693714,9693717,9693719","184500.0,187500.0,184500.0,184500.0,184500.0","RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002"
9517859,f,h,"10579072,10588795,10579071,10588975,10588974","437750.0,437750.0,437750.0,437750.0,437750.0","RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027,RFA-DK-21-027"
7929598,m,a,"8771264,8152489,9335110,8547029,8325002","2992500.0,3150000.0,2947500.0,3037500.0,3082500.0000000005","RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016"
7935295,f,w,"8446031,8443710,8539592,8537894,9852303","274000.0,274000.0,270000.0,270000.0,430500.0","RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-18-004"
8449133,m,h,"10037854,10031380,10037760,10037968,9357407","613770.0,613770.0,613770.0,613770.0,625000.0","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-16-021"
10652514,m,w,"10479044,10532594,10685294,10693955,10745889","214000.0,214000.0,206000.0,206000.0,206000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9767577,m,w,"9274534,9344536,9126419,9303779,9109314","393000.0,375000.0,491250.0,468750.0,498750.0","RFA-FD-16-032,RFA-FD-16-032,RFA-FD-15-020,RFA-FD-15-020,RFA-FD-15-020"
8345678,m,w,"9479323,9569735,9775279,10194625,10627292","937500.0,937500.0,922500.0,869999.9999999999,1236000.0","RFA-NS-17-022,RFA-NS-17-022,RFA-NS-17-022,RFA-NS-17-022,RFA-NS-22-019"
9674856,f,w,"9936310,9701015,9306750,9295954,9288124","430500.0,430500.0,437500.0,437500.0,437500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
10015204,f,w,"7564079,8018644,7619303,7617916,7586092","365000.0,350000.0,365000.0,365000.0,365000.0","RFA-DA-06-004,RFA-DA-06-004,RFA-DA-06-004,RFA-DA-06-004,RFA-DA-06-004"
10663363,f,w,"10458119,9975693,10423663,9748426,9609262","535000.0,615000.0,580000.0,615000.0,625000.0","RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013"
10680567,m,w,"7684828,7684826,7675389,7675391,7686755","511000.0,511000.0,511000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
9188495,f,w,"9770858,9995494,9188322,9188495,9187756","369000.0,369000.0,393000.0,393000.0,393000.0","RFA-ES-15-013,RFA-ES-15-013,RFA-ES-15-013,RFA-ES-15-013,RFA-ES-15-013"
8733160,m,w,"10518967,10519808,10706514,10708816,8971447","535000.0,535000.0,515000.0,515000.0,3325000.0","RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-14-015"
8884678,f,w,"8912367,9519544,9293252,9101967,8754186","465500.0,437500.0,437500.0,458500.0,465500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8734222,m,a,"7725741,7724796,7893259,7893258,7893160","73000.0,73000.0,72000.0,72000.0,72000.0","RFA-HD-08-009,RFA-HD-08-009,RFA-HD-08-009,RFA-HD-08-009,RFA-HD-08-009"
9148067,m,w,"8689977,8539587,9095252,9123576,9142266","465500.0,472500.00000000006,458500.0,458500.0,458500.0","RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009,RFA-CA-11-009"
9135149,m,w,"7943167,8144939,8330246,8545225,8545224","1825000.0,1750000.0,1712500.0000000002,1687500.0,1687500.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
9512924,m,w,"9385159,9533194,8306300,8380548,8564923","1000000.0,1000000.0,1027500.0,1027500.0,1027500.0","RFA-HL-15-027,RFA-HL-15-027,RFA-DK-09-009,RFA-DK-09-009,RFA-DK-09-009"
7701551,m,w,"8825404,9226026,9223658,9223652,9257271","1995000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
9045566,m,w,"9929891,9260911,9306887,9304257,9281084","922500.0,937500.0,937500.0,937500.0,937500.0","RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002"
10144820,m,w,"10375506,10160780,10163679,10163678,10163676","80250.0,87000.0,87000.0,87000.0,87000.0","RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004,RFA-AI-18-004"
9335976,f,w,"8825607,8355114,8355141,8335509,8355435","375000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005"
9922864,f,b,"10362595,10362587,9982774,9982773,10355467","1605000.0,1605000.0,1845000.0,1845000.0,1605000.0","RFA-AI-18-005,RFA-AI-18-005,RFA-AI-18-005,RFA-AI-18-005,RFA-AI-18-005"
9546019,m,a,"10201462,10441246,10198655,9978689,9978686","957000.0,882750.0,957000.0,1014750.0,1014750.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
7743053,m,w,"10508314,10641972,10650888,10650885,10650881","3745000.0,3605000.0,3605000.0,3605000.0,3605000.0","RFA-AI-21-030,RFA-AI-21-030,RFA-AI-21-030,RFA-AI-21-030,RFA-AI-21-030"
10339728,f,h,"8725571,8724343,8565991,8566312,8565628","266000.0,266000.0,270000.0,270000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
10163676,m,w,"9363556,9742976,9515790,9362777,9362298","937500.0,922500.0,937500.0,937500.0,937500.0","RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034"
9770557,m,w,"7682999,7664954,7664526,9570789,10248308","328500.0,328500.0,328500.0,1500000.0,1392000.0","RFA-MH-07-090,RFA-MH-07-090,RFA-MH-07-090,RFA-NS-17-021,RFA-NS-17-021"
10018167,f,b,"7623192,8454664,8494028,8132471,8471415","219000.0,205500.00000000003,675000.0,700000.0,685000.0","RFA-DA-06-001,RFA-DA-06-001,RFA-DA-10-001,RFA-DA-10-001,RFA-DA-10-001"
9321533,m,a,"9609262,9748426,10423663,9975693,10458119","625000.0,615000.0,580000.0,615000.0,535000.0","RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013"
9393537,m,w,"9612504,9618624,9393653,9393833,9393659","1537500.0,1537500.0,1562500.0,1562500.0,1562500.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10332731,f,w,"9056479,8548341,8461588,8461590,8701537","2358000.0,2430000.0,2430000.0,2430000.0,2430000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9186488,f,a,"7898551,8101260,8097991,7656630,7640748","720000.0,700000.0,700000.0,730000.0,730000.0","RFA-AI-07-025,RFA-AI-07-025,RFA-AI-07-025,RFA-AI-07-025,RFA-AI-07-025"
9270571,m,a,"10837481,10837461,9144468,9339745,8986553","412000.0,412000.0,1310000.0,1250000.0,1330000.0","RFA-FD-23-028,RFA-FD-23-028,RFA-RM-14-016,RFA-RM-14-016,RFA-RM-14-016"
9250747,m,w,"9011718,9011926,8689156,8550129,8411660","458500.0,458500.0,532000.0,540000.0,548000.0","RFA-HL-15-026,RFA-HL-15-026,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035"
8290333,f,w,"10225619,10391545,10410437,10231234,10620639","348000.0,321000.0,321000.0,348000.0,309000.0","RFA-ES-20-003,RFA-ES-20-003,RFA-ES-20-003,RFA-ES-20-003,RFA-ES-20-003"
10620820,m,h,"7664567,7692225,7690402,10487962,10708819","937320.0,4920200.0,4920200.0,749000.0,721000.0","RFA-RM-05-015,RFA-RM-05-016,RFA-RM-05-016,RFA-RM-21-015,RFA-RM-21-015"
8827244,f,w,"10579873,9897492,9894725,9894726,9897488","154500.0,184500.0,184500.0,184500.0,184500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8055733,f,w,"9267107,8884960,8885363,8885422,9057968","6250000.0,6650000.0,6650000.0,6650000.0,6550000.0","RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008"
8033384,f,w,"10738711,10738105,10738712,10738713,10738443","772500.0,772500.0,772500.0,772500.0,772500.0","RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019"
9568396,m,w,"9670292,9365686,9321458,9304204,9376661","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013"
8900947,f,w,"8355141,8352193,8727801,8358286,8355924","411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005"
10657711,m,w,"8804866,8788633,8500579,8790694,8820835","332500.0,332500.0,337500.0,332500.0,332500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
9132768,m,w,"9534065,10176458,10147052,10147056,10147057","937500.0,869999.9999999999,869999.9999999999,869999.9999999999,869999.9999999999","RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019"
9712515,m,w,"10242789,10242787,10242790,10621195,10621196","1392000.0,1392000.0,1392000.0,1236000.0,1236000.0","RFA-AI-19-043,RFA-AI-19-043,RFA-AI-19-043,RFA-AI-19-043,RFA-AI-19-043"
8089346,m,a,"10308105,10304202,10156146,10153409,10136988","214000.0,214000.0,232000.0,232000.0,232000.0","RFA-AI-19-072,RFA-AI-19-072,RFA-AI-19-072,RFA-AI-19-072,RFA-AI-19-072"
8305921,m,a,"10454619,10663327,10453885,10453886,10454673","856000.0,824000.0,856000.0,856000.0,856000.0","RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029"
10240582,m,w,"7587878,8066804,7692671,7826611,7630038","1095000.0,1050000.0,1080000.0,1080000.0,1095000.0","RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011"
9146685,m,w,"8732713,8551833,8827048,8695511,8695510","1596000.0,1644000.0000000002,1596000.0,1596000.0,1596000.0","RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006"
10470897,f,w,"8051285,8052170,8051217,8051124,8051270","360000.0,360000.0,360000.0,360000.0,360000.0","RFA-OD-10-007,RFA-OD-10-007,RFA-OD-10-007,RFA-OD-10-007,RFA-OD-10-007"
8379014,f,w,"9252374,9459844,9108588,9870863,9890987","437500.0,437500.0,458500.0,430500.0,430500.0","RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005"
10348760,f,h,"8318675,8119431,7726363,7715404,8136138","342500.0,350000.0,365000.0,365000.0,350000.0","RFA-AG-09-010,RFA-AG-09-010,RFA-AG-09-010,RFA-AG-09-010,RFA-AG-09-010"
9577979,m,w,"8829218,9036982,8582263,8851592,8759484","532000.0,524000.0,540000.0,532000.0,540000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
8739566,m,w,"9183074,8476120,8476095,9199598,9199599","1995000.0,2055000.0,2055000.0,1875000.0,1875000.0","RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007"
10385798,m,w,"9770847,9705957,10663977,10455092,10236872","307500.0,312500.0,515000.0,535000.0,580000.0","RFA-FD-18-017,RFA-FD-18-017,RFA-AR-21-003,RFA-AR-21-003,RFA-AR-21-003"
8385088,m,w,"8918703,9134823,8919827,8721461,9126574","798000.0,786000.0,798000.0,798000.0,786000.0","RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208"
7654260,m,w,"8472621,8658196,8412142,8472812,8412134","342500.0,342500.0,342500.0,342500.0,342500.0","RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046"
10349460,f,w,"8442723,8586359,8443130,8443625,8443545","236250.00000000003,232750.0,236250.00000000003,236250.00000000003,236250.00000000003","RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021"
8972873,m,h,"8268769,7929011,8133865,8287224,8261748","685000.0,72000.0,70000.0,70000.0,70000.0","RFA-RR-11-004,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002,RFA-RM-07-002"
9143074,m,h,"9759653,9340007,9987322,9293815,9544701","984000.0,1000000.0,984000.0,1048000.0,1000000.0","RFA-FD-16-019,RFA-FD-16-019,RFA-FD-16-019,RFA-FD-16-019,RFA-FD-16-019"
9116302,f,a,"7682983,7643794,7931241,10479093,10320714","292000.0,292000.0,292000.0,401250.0,435000.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-AT-21-003,RFA-AT-21-003"
8058642,m,w,"8725043,8496399,8607041,8608481,8649026","997500.0,1012500.0,997500.0,997500.0,997500.0","RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014"
9364868,f,w,"10709636,10592780,8532795,8370230,8518213","772500.0,802500.0,67500.0,68500.0,67500.0","RFA-TR-22-012,RFA-TR-22-012,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
10303939,m,b,"9997766,9539177,9778694,9770533,9339526","307500.0,312500.0,307500.0,307500.0,312500.0","RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003"
8379874,m,w,"10304516,10410374,10421358,10154294,10173111","232000.0,214000.0,214000.0,232000.0,232000.0","RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005"
9526494,m,w,"10307397,10532212,10543752,10543748,10542354","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
9688770,f,w,"10366763,10054488,10557164,10234201,9038436","374500.0,430500.0,360500.0,406000.0,1310000.0","RFA-HL-20-027,RFA-HL-20-027,RFA-HL-20-027,RFA-HL-20-027,RFA-OD-14-005"
9112848,f,w,"9233895,9242596,9268701,9226033,9317410","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
9309585,f,w,"8113796,8639454,8113122,8436251,8456170","840000.0,798000.0,840000.0,810000.0,810000.0","RFA-AI-10-005,RFA-AI-10-005,RFA-AI-10-005,RFA-AI-10-005,RFA-AI-10-005"
10242786,m,w,"8078840,7681066,7918039,8111009,7900364","1440000.0,1460000.0,1440000.0,1440000.0,1440000.0","RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018"
10289787,m,h,"9186640,9354433,9782896,9782897,9782898","327500.0,312500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8935815,f,w,"7693834,7691805,8137663,8113184,7901149","584000.0,584000.0,560000.0,560000.0,576000.0","RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019"
9320749,m,w,"10356645,9950980,9522096,9502903,9543960","869999.9999999999,922500.0,937500.0,937500.0,937500.0","RFA-AI-16-047,RFA-AI-16-047,RFA-AI-16-047,RFA-AI-16-047,RFA-AI-16-047"
9280945,f,h,"10679006,9948263,9962092,10355531,10355532","1030000.0,922500.0,922500.0,802500.0,802500.0","RFA-ES-20-016,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
9170589,m,h,"7932237,8337256,8131018,7868750,7694268","1728000.0,1644000.0000000002,1680000.0,1752000.0,1752000.0","RFA-GM-08-007,RFA-GM-08-007,RFA-GM-08-007,RFA-GM-08-007,RFA-GM-08-007"
7934079,f,w,"8280413,8241641,8587441,8600630,8588253","342500.0,342500.0,332500.0,332500.0,332500.0","RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001"
8790285,m,a,"9983262,10370410,10138992,10600094,10423663","307500.0,267500.0,290000.0,257500.0,580000.0","RFA-AI-19-023,RFA-AI-19-023,RFA-AI-19-023,RFA-AI-19-023,RFA-AI-17-013"
8448153,m,w,"8848714,9462688,9462796,9462700,9462696","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
10321282,m,w,"9694654,9971508,9565752,8926921,9132192","61500.0,369000.0,375000.0,1330000.0,1310000.0","RFA-OD-17-012,RFA-OD-17-013,RFA-OD-17-013,RFA-OD-13-014,RFA-OD-13-014"
7849767,f,h,"7926853,7926379,7926879,7927672,7921703","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-OD-09-008,RFA-OD-09-008,RFA-OD-09-008,RFA-OD-09-008,RFA-OD-09-008"
10189583,m,w,"7960776,7960784,7959663,7959664,7959665","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001"
8327756,f,w,"8642414,8641479,8642228,8642427,8642401","1330000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007"
9911375,m,w,"9960555,9097289,10450248,9307857,9730475","738000.0,786000.0,696000.0,750000.0,738000.0","RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002"
7936954,m,w,"10264032,10093338,10264868,10264171,10264140","57999.99999999999,61500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027"
8460020,m,w,"9738570,9739064,9738727,9738635,9738418","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
10644994,m,w,"8258255,8484364,8117019,8113438,7742030","685000.0,675000.0,700000.0,700000.0,730000.0","RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022"
10690743,m,w,"8904623,8771264,8152489,9335110,8547029","2992500.0,2992500.0,3150000.0,2947500.0,3037500.0","RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016,RFA-CA-10-016"
9108805,m,w,"8137493,8725249,8843059,8308332,8322566","350000.0,332500.0,332500.0,342500.0,342500.0","RFA-RR-10-005,RFA-RR-10-005,RFA-RR-10-005,RFA-RR-10-005,RFA-RR-10-005"
10381477,m,h,"9501685,9099754,8960218,8960275,8959902","375000.0,393000.0,399000.0,399000.0,399000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
8168306,m,h,"8274641,8272615,8274643,8269071,8129592","342500.0,342500.0,342500.0,342500.0,350000.0","RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005"
8552185,f,w,"10434770,8554494,9604763,9186941,8975583","428000.0,24605000.0,22755000.0,23125000.0,24235000.0","RFA-AI-18-026,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011"
8119032,m,w,"8913107,8414034,8693975,8711423,9108891","997500.0,1027500.0,997500.0,997500.0,982500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
9180126,m,w,"10613358,10136137,10615700,10615702,10615706","1030000.0,1160000.0,1030000.0,1030000.0,1030000.0","RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012"
8179611,m,w,"10621613,9589787,9737801,9978678,9978679","437750.0,1031250.0,1014750.0,1014750.0,1014750.0","RFA-AG-23-006,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
10190904,m,w,"9936252,9980369,10166830,10166829,10166828","184500.0,184500.0,174000.0,174000.0,174000.0","RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006"
8532849,f,w,"9543228,9550775,9550792,9543231,9772118","472500.0,472500.0,472500.0,472500.0,464940.0","RFA-FD-15-019,RFA-FD-15-019,RFA-FD-15-019,RFA-FD-15-019,RFA-FD-15-019"
7755169,m,w,"8111972,7760992,7935272,7934506,7934521","350000.0,365000.0,360000.0,360000.0,360000.0","RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005,RFA-HL-08-005"
9049484,f,w,"9354436,9564866,9868107,9547412,9547392","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8113282,m,w,"9533919,9107782,9315358,9113462,9107762","150000.0,157200.0,157200.0,157200.0,157200.0","RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005"
9065493,m,a,"9223658,9024436,9245830,9112848,9024417","1875000.0,1965000.0,1965000.0,1965000.0,1965000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
9999180,m,w,"8390326,9408836,8385929,8385981,8390234","205500.00000000003,187500.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-DK-11-012,RFA-DK-11-012,RFA-DK-11-012,RFA-DK-11-012,RFA-DK-11-012"
8368498,m,w,"8368498,8625433,8535121,9334045,9152898","411000.00000000006,405000.0,405000.0,250000.0,262000.0","RFA-AG-12-007,RFA-AG-12-007,RFA-AG-12-007,RFA-AG-16-013,RFA-AG-16-013"
9912802,m,w,"8075482,7916632,7741904,8092588,7741852","315000.0,324000.0,328500.0,350000.0,365000.0","RFA-MH-08-011,RFA-MH-08-011,RFA-MH-08-011,RFA-MH-08-010,RFA-MH-08-010"
9718100,m,w,"9936310,9288124,9294945,9699940,9701015","430500.0,437500.0,437500.0,430500.0,430500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
9729491,f,w,"8484785,9058457,8469823,8450067,8479315","1012500.0,982500.0,1012500.0,1012500.0,1012500.0","RFA-AI-11-014,RFA-AI-11-014,RFA-AI-11-014,RFA-AI-11-014,RFA-AI-11-014"
8528649,m,w,"9491912,9471784,9961457,10098064,10134972","937500.0,937500.0,922500.0,869999.9999999999,869999.9999999999","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
7894564,f,a,"8769774,8917082,8769634,9084484,9069722","266000.0,266000.0,266000.0,262000.0,262000.0","RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013"
8826010,m,w,"7753567,7755519,8102994,8120246,8102984","2044000.0,2044000.0,1960000.0,1960000.0,1960000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
9462742,m,w,"9120432,8655405,9120434,9091654,8438396","655000.0,675000.0,655000.0,655000.0,675000.0","RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003,RFA-NS-12-003"
8070329,m,w,"9897617,10131128,10132968,10134988,10134991","615000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8565739,m,w,"8695327,8325284,8325286,8150919,8150916","997500.0,1050000.0,1050000.0,1050000.0,1050000.0","RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013"
9813821,f,w,"8074033,8725573,8320892,8105104,7989090","1400000.0,1330000.0,1370000.0,1400000.0,1440000.0","RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029"
8327271,m,w,"9061566,8901624,8903447,9060252,9073343","196500.0,199500.0,199500.0,196500.0,196500.0","RFA-HS-14-010,RFA-HS-14-010,RFA-HS-14-010,RFA-HS-14-010,RFA-HS-14-010"
8717561,m,w,"9038249,8705846,9263887,8843779,8410154","196500.0,199500.0,187500.0,199500.0,205500.00000000003","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-11-018"
10001475,f,w,"8137663,7897686,8113184,7691805,7693834","560000.0,576000.0,560000.0,584000.0,584000.0","RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019"
