APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_r_wi,APPVAL_RECS_spanbert_r_wi,FOA_RECS_spanbert_r_wi
7886873,m,w,"10217221,10226692,8133151,8324126,8469875","232000.0,261000.0,700000.0,685000.0,665000.0","RFA-HD-20-021,RFA-HD-21-007,RFA-HD-09-009,RFA-HD-09-009,RFA-HD-09-009"
10488630,f,a,"8100407,8097323,7647927,7892341,8100405","1080000.0,1080000.0,1095000.0,1095000.0,1080000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
9137625,f,w,"9933326,9930496,9933416,9933445,9933229","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018"
8085924,m,w,"9193112,9309081,7800416,7595239,7799851","524000.0,500000.0,200160.0,202940.0,200160.0","RFA-MD-15-011,RFA-MD-15-011,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002"
9485284,m,w,"8121474,7906667,7906665,7906664,7664918","108000.0,109500.0,109500.0,109500.0,109500.0","RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001"
8070326,m,w,"9438469,9040873,9233895,9223658,9223652","1875000.0,1965000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8068031,f,w,"9484893,9484829,9482284,9484496,9485172","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"8899343,9114408,9114407,9114398,9313016","399000.0,393000.0,393000.0,393000.0,393000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"7935616,7847346,7682324,7686060,7684003","175200.0,175200.0,175200.0,175200.0,175200.0","RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013"
9150566,m,w,"9040180,9063988,9081596,9040176,9081595","1441000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001"
10478136,m,w,"8534104,8133541,7791662,7791497,7791529","472500.00000000006,490000.0,511000.0,511000.0,511000.0","RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
