APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
10116708,f,w,"8752153,8722021,8617863,8748760,9103194","299250.0,299250.0,299250.0,299250.0,294750.0","RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023"
9080334,m,w,"8187076,8894408,8475566,8532647,8532646","560000.0,532000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7959745,8360272,7959955,7959952,7663142","292000.0,280000.0,292000.0,292000.0,292000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9114017,m,h,"8528823,9110807,9105696,9110210,9110894","729000.0,707400.0,707400.0,707400.0,707400.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8268769,8473975,8473932,8490522,8473969","685000.0,2700000.0,2700000.0,2700000.0,2700000.0","RFA-RR-11-004,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001"
8468754,f,w,"8825531,9245732,9022512,8604915,10618316","3192000.0,3000000.0,3144000.0,3192000.0,535600.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-22-007"
7737637,m,w,"9437652,9020204,9011505,9214310,9222699","187500.0,196500.0,196500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
8664703,m,w,"7903510,7625209,7961375,7625236,7625194","6935000.0,6935000.0,6935000.0,6935000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"7848533,7796669,8079051,7582243,7673872","292000.0,360000.0,350000.0,365000.0,365000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"8137977,7791268,7939800,7938945,7941928","350000.0,365000.0,360000.0,360000.0,360000.0","RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005"
10495240,m,w,"10465271,9952554,9751599,9889884,9717214","515000.0,615000.0,615000.0,615000.0,276750.0","RFA-AI-18-017,RFA-AI-18-017,RFA-AI-18-017,RFA-AI-18-017,RFA-MH-17-361"
9787108,m,w,"10514064,10701771,10581838,10581946,10583428","535000.0,515000.0,206000.0,206000.0,206000.0","RFA-AG-22-019,RFA-AG-22-019,RFA-AG-23-002,RFA-AG-23-002,RFA-AG-23-002"
8036022,m,w,"10238916,10207350,10238907,10238908,10238910","246000.0,232000.0,232000.0,232000.0,232000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
10359813,m,w,"10618984,10617354,10623213,10648773,10650032","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525"
9753241,m,w,"8239673,8376366,8663263,8213830,8238772","1680000.0,1644000.0000000002,1596000.0,1680000.0,1680000.0","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
8659443,m,w,"10693800,10361888,10693080,10693084,10693095","1802500.0,1872500.0,1802500.0,1802500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9706081,f,a,"10250341,10003928,9548539,10006150,10006152","4060000.0,4305000.0,4375000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8698446,m,w,"8432355,7936081,8298979,8289467,8501646","732950.0,770400.0,732950.0,732950.0,722250.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"8073856,8517478,8706704,8706706,8587445","360000.0,337500.0,332500.0,332500.0,332500.0","RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005"
9527838,m,w,"10851086,10636910,10629324,10624857,10620321","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006"
9994751,m,w,"9119041,9108388,9347029,9305100,9970587","655000.0,655000.0,655000.0,625000.0,615000.0","RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015"
10216205,m,w,"8433072,8548317,8723137,8860156,8903770","411000.00000000006,405000.0,399000.0,399000.0,399000.0","RFA-CA-12-005,RFA-CA-12-005,RFA-CA-12-005,RFA-CA-13-004,RFA-CA-13-004"
9355575,m,w,"10479177,10005899,10240520,9789242,9626529","454750.0,522750.0,493000.0,522750.0,531250.0","RFA-CA-17-052,RFA-CA-17-052,RFA-CA-17-052,RFA-CA-17-052,RFA-CA-17-052"
8874375,m,w,"10407844,10407756,10622622,10622624,10407836","1070000.0,1070000.0,1030000.0,1030000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
