APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
8173841,m,w,"7920762,7961321,7961360,7961361,7961362","6935000.0,6935000.0,6935000.0,6935000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
9245839,f,w,"9542766,9544193,9762068,9762066,9358698","187500.0,187500.0,184500.0,184500.0,187500.0","RFA-DA-16-009,RFA-DA-16-009,RFA-DA-16-009,RFA-DA-16-009,RFA-DA-16-009"
8700163,f,w,"10678972,10483210,10327453,10679106,10327536","206000.0,214000.0,232000.0,206000.0,232000.0","RFA-HL-21-015,RFA-HL-21-015,RFA-HL-21-015,RFA-HL-21-015,RFA-HL-21-015"
8900879,m,w,"8735047,8424499,8427259,8546972,8428142","2660000.0,2740000.0,2700000.0,2700000.0,2700000.0","RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007"
7914148,f,w,"8106253,8433997,9171977,8638094,8509620","700000.0,675000.0,675000.0,675000.0,675000.0","RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022,RFA-CA-08-022"
10476477,f,a,"7686060,7935616,7682324,7847346,7684003","175200.0,175200.0,175200.0,175200.0,175200.0","RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013"
9763613,m,w,"8734420,9315141,8914613,8913960,9130457","665000.0,625000.0,665000.0,665000.0,665000.0","RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014,RFA-DK-12-014"
8325286,m,a,"8566029,8566006,8292169,8298255,8513977","1012500.0,1027500.0,1027500.0,1027500.0,1012500.0","RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013,RFA-DK-09-013"
10388180,f,w,"10812890,10812798,10812062,10810953,8465866","772500.0,772500.0,772500.0,772500.0,1350000.0","RFA-DA-23-053,RFA-DA-23-053,RFA-DA-23-053,RFA-DA-23-054,RFA-DA-12-005"
10009724,m,w,"7846159,7687923,7624173,7923836,7919368","864000.0,876000.0,876000.0,864000.0,864000.0","RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005"
8080124,m,w,"8874277,9063082,8707119,8705240,8703389","356225.87,350869.09,356225.87,356225.87,356225.87","RFA-HL-14-014,RFA-HL-14-014,RFA-HL-14-014,RFA-HL-14-014,RFA-HL-14-014"
8825402,m,w,"9689910,9475551,9475553,9475557,9475160","147600.0,150000.0,150000.0,150000.0,150000.0","RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028"
7904191,m,w,"7915701,8122392,8101284,8101285,8101286","1387000.0,1368000.0,1368000.0,1368000.0,1368000.0","RFA-AI-05-027,RFA-AI-05-027,RFA-AI-05-027,RFA-AI-05-027,RFA-AI-05-027"
7846159,m,w,"7900940,8316181,7903201,8102973,8102984","2016000.0,1918000.0,2016000.0,1960000.0,1960000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
9683915,m,w,"9553743,9259575,9256998,9259773,9255142","2187500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9955329,m,w,"8969452,8464687,8690616,8590313,8311623","665000.0,1350000.0,1330000.0,1370000.0,1370000.0","RFA-HL-14-013,RFA-HD-11-101,RFA-HD-11-101,RFA-HD-11-101,RFA-HD-11-101"
10017921,f,w,"8314113,7897686,7901149,8113184,8137663","548000.0,576000.0,576000.0,560000.0,560000.0","RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019"
9689914,m,h,"10565872,10349839,10003941,9736620,9767649","515000.0,535000.0,246000.0,246000.0,246000.0","RFA-AI-20-055,RFA-AI-20-055,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
10137952,m,w,"9313495,9696381,9482420,8935788,8935841","250000.0,246000.0,250000.0,266000.0,266000.0","RFA-HG-16-016,RFA-HG-16-016,RFA-HG-16-016,RFA-HG-14-009,RFA-HG-14-009"
8444626,m,w,"9689914,9689913,9264981,9264974,9269973","147600.0,147600.0,150000.0,150000.0,150000.0","RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028,RFA-AI-14-028"
9068081,m,w,"8074967,8074965,7797504,7638483,7900292","1050000.0,1080000.0,1095000.0,1095000.0,1095000.0","RFA-DK-06-009,RFA-DK-06-009,RFA-DK-06-009,RFA-DK-06-009,RFA-DK-06-009"
10654766,m,a,"9197610,8789155,9197614,9197612,9197616","3750000.0,3990000.0,3750000.0,3750000.0,3750000.0","RFA-AI-12-003,RFA-AI-12-003,RFA-AI-12-003,RFA-AI-12-003,RFA-AI-12-003"
10673954,f,h,"10823828,10644986,10676837,10151017,10151018","515000.0,515000.0,515000.0,615000.0,615000.0","RFA-FD-23-010,RFA-MD-20-006,RFA-MD-20-006,RFA-MD-20-006,RFA-MD-20-006"
10704046,m,w,"9098596,8889636,8917858,8849847,8917856","1048000.0,1064000.0,1064000.0,1064000.0,1064000.0","RFA-AR-12-001,RFA-AR-12-001,RFA-AR-12-001,RFA-AR-12-001,RFA-AR-12-001"
9281742,m,w,"10745889,10479044,10309098,10746327,10693955","206000.0,214000.0,232000.0,206000.0,206000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9922933,f,w,"10679006,10379613,10378934,10377742,10379210","1030000.0,274540.60000000003,274540.60000000003,274540.60000000003,274540.60000000003","RFA-ES-20-016,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-003"
10675109,f,h,"9276547,9143829,9506629,9507751,9698245","312500.0,332500.0,312500.0,312500.0,307500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
8841606,f,w,"8683206,8841389,8829030,9085324,9081627","465500.0,465500.0,465500.0,458500.0,458500.0","RFA-HD-12-198,RFA-HD-12-198,RFA-HD-12-198,RFA-HD-12-198,RFA-HD-12-198"
8107627,m,w,"10414020,10660990,10173772,10173776,10173777","1545000.0,1545000.0,1739999.9999999998,1739999.9999999998,1739999.9999999998","RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011"
9871539,m,w,"8092657,7896496,7626484,7680023,7664978","420000.0,432000.0,438000.0,438000.0,438000.0","RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041"
7680613,m,h,"8825403,9226031,9212088,9257274,9317412","1995000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8798219,m,w,"8994292,8799017,8798219,8796535,9406134","327500.0,332500.0,332500.0,332500.0,312500.0","RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011"
8044411,m,w,"8015844,8692300,8691332,8691256,8692115","1915200.0,1012500.0,1012500.0,1012500.0,1012500.0","RFA-HS-10-006,RFA-HS-13-011,RFA-HS-13-011,RFA-HS-13-011,RFA-HS-13-011"
9927964,m,w,"8306671,8135057,9886189,10107747,10656180","274000.0,280000.0,184500.0,174000.0,154500.0","RFA-RR-10-004,RFA-RR-10-004,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
9230420,m,w,"7673814,8069923,8269831,7596275,7629090","438000.0,420000.0,411000.00000000006,438000.0,438000.0","RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008"
8402056,m,w,"10650877,10430514,10430544,10641819,10707245","309000.0,321000.0,321000.0,309000.0,257500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-EY-21-002"
8725249,m,w,"7672271,7683038,7673736,7617895,10449317","365000.0,365000.0,365000.0,365000.0,2568000.0","RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-05-028,RFA-AI-19-041"
9332491,m,w,"9780601,9778907,9432737,9432851,9432736","369000.0,369000.0,375000.0,375000.0,375000.0","RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011,RFA-NS-17-011"
9134738,m,a,"8134688,8133107,8890495,8130401,8130396","504000.0,490000.0,465500.0,504000.0,504000.0","RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010"
8152223,f,w,"8733034,8499257,8381453,8382164,8382162","532000.0,540000.0,548000.0,548000.0,548000.0","RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010"
10244835,f,w,"8305527,7921637,7923711,7922762,7928126","342500.0,360000.0,360000.0,360000.0,360000.0","RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017"
7660428,f,w,"8994598,8994640,8993964,8994651,8994511","399000.0,399000.0,399000.0,399000.0,399000.0","RFA-MD-15-002,RFA-MD-15-002,RFA-MD-15-002,RFA-MD-15-002,RFA-MD-15-002"
9675655,m,w,"10704028,10353153,10707534,10707529,10707527","1802500.0,1872500.0,1802500.0,1802500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
10135070,m,w,"10377742,10378934,10379613,10379210,9960555","274540.60000000003,274540.60000000003,274540.60000000003,274540.60000000003,738000.0","RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-003,RFA-ES-15-002"
9206813,f,w,"10164866,10649426,9933610,10393600,9482420","348000.0,309000.0,369000.0,321000.0,250000.0","RFA-OD-19-011,RFA-OD-19-011,RFA-OD-19-011,RFA-OD-19-011,RFA-HG-16-016"
10135964,f,w,"10353150,10690424,10349751,10349750,10693061","1872500.0,1802500.0,1872500.0,1872500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
8137515,m,w,"8686476,9066203,9268660,9486981,8870424","665000.0,655000.0,625000.0,625000.0,665000.0","RFA-HL-14-008,RFA-HL-14-008,RFA-HL-14-008,RFA-HL-14-008,RFA-HL-14-008"
8588703,f,w,"8909903,9058578,9253031,9689266,9473658","266000.0,262000.0,250000.0,246000.0,250000.0","RFA-HD-14-034,RFA-HD-14-034,RFA-HD-14-034,RFA-HD-14-034,RFA-HD-14-034"
8726097,m,w,"10704819,10704325,10625579,10625578,10625172","772500.0,772500.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-037,RFA-AI-22-037,RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001"
8110158,f,w,"7846463,7919077,10674221,10674294,10674274","292000.0,292000.0,669500.0,669500.0,669500.0","RFA-AI-06-021,RFA-AI-06-021,RFA-AI-22-028,RFA-AI-22-028,RFA-AI-22-028"
8147770,m,w,"8720662,8572720,9272297,8580451,8720663","66500.0,67500.0,250000.0,270000.0,266000.0","RFA-AG-13-005,RFA-AG-13-005,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
8461215,m,w,"8885020,8097853,8842744,8889479,8659470","2394000.0,2520000.0,2394000.0,2394000.0,2394000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
9701965,f,w,"10473735,10296340,10631108,10469319,10228509","749000.0,812000.0,721000.0,856000.0,928000.0","RFA-HG-20-043,RFA-HG-20-043,RFA-HG-20-043,RFA-HG-20-037,RFA-HG-20-037"
10680745,m,w,"10686688,10688445,10580415,10581282,9941708","206000.0,206000.0,214000.0,214000.0,1845000.0","RFA-TR-22-011,RFA-TR-22-011,RFA-TR-22-011,RFA-TR-22-011,RFA-NS-19-010"
8929555,f,h,"9012764,9441706,9225179,9654678,9654679","655000.0,625000.0,625000.0,615000.0,615000.0","RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002"
8244458,m,w,"10426961,10618316,10466580,10572302,10619007","556400.0,535600.0,164780.0,158620.0,158620.0","RFA-HL-22-007,RFA-HL-22-007,RFA-HL-22-012,RFA-HL-22-012,RFA-HL-22-012"
9150677,m,w,"7931241,7643794,7682983,8729572,9128454","292000.0,292000.0,292000.0,332500.0,327500.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-NS-13-007,RFA-NS-13-007"
8829691,f,w,"10457740,10459080,9340236,9318572,8889280","274540.60000000003,274540.60000000003,1500000.0,1500000.0,1596000.0","RFA-HD-22-010,RFA-HD-22-010,RFA-HD-13-016,RFA-HD-13-016,RFA-HD-13-016"
7799066,m,w,"7800920,7608718,7799066,7614363,7614357","259200.0,262800.0,259200.0,262800.0,262800.0","RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010,RFA-HD-04-010"
9003042,m,h,"9850254,9626371,9710673,9710674,9710675","922500.0,922500.0,922500.0,922500.0,922500.0","RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012"
9561951,m,w,"7917417,8322939,7862496,7816808,7864123","720000.0,700000.0,720000.0,720000.0,720000.0","RFA-CA-08-006,RFA-CA-08-006,RFA-CA-08-006,RFA-CA-08-006,RFA-CA-08-006"
7754695,f,h,"9604763,8554494,9828646,9391174,8782592","22755000.0,24605000.0,22755000.0,23125000.0,24605000.0","RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011"
9074811,f,w,"10348100,10348092,9249083,9250172,9249640","232000.0,232000.0,250000.0,250000.0,250000.0","RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020"
8068361,f,w,"8661148,8228758,8230832,8484810,8473841","665000.0,700000.0,700000.0,675000.0,675000.0","RFA-DA-11-008,RFA-DA-11-008,RFA-DA-11-008,RFA-DA-11-008,RFA-DA-11-008"
7836640,m,w,"7941738,7837303,7833128,7836690,7821933","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003,RFA-OD-09-003"
9676314,f,h,"9246536,9460502,9676314,9670111,9669066","116680.0,116680.0,114813.12,114813.12,114813.12","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
8733760,m,w,"9768475,9567563,9567554,9856278,9567561","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-RM-17-003,RFA-RM-17-003,RFA-RM-17-003,RFA-RM-17-003,RFA-RM-17-003"
8992504,f,h,"8895402,9320887,8638405,9116281,8743255","638400.0,600000.0,648000.0,628800.0,638400.0","RFA-HL-13-028,RFA-HL-13-028,RFA-HL-13-028,RFA-HL-13-028,RFA-HL-13-028"
9134186,f,w,"10747205,9939536,9206810,9345786,9346084","123600.0,861000.0,917000.0,875000.0,875000.0","RFA-HD-23-027,RFA-HD-16-017,RFA-HD-16-017,RFA-HD-16-017,RFA-HD-16-017"
7900492,m,w,"9114642,9324029,9747330,9533890,8951512","352390.0,336250.0,330870.0,336250.0,357770.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
10091984,f,w,"10403256,10695879,10403255,10706991,10404412","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001"
10256809,m,w,"10624351,10617370,10437135,10436554,8546118","515000.0,515000.0,535000.0,535000.0,472500.00000000006","RFA-AG-22-020,RFA-AG-22-020,RFA-AG-22-020,RFA-AG-22-020,RFA-NR-13-001"
7650408,m,h,"9128040,8725226,8885883,9320021,8489410","1244500.0,1263500.0,1263500.0,1187500.0,1282500.0","RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011,RFA-HL-13-011"
9669041,f,w,"9457435,9669041,9044776,9044778,9247185","116680.0,114813.12,122280.64,122280.64,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
8712319,m,h,"8712319,8473773,8054921,8495879,8495876","665000.0,675000.0,700000.0,675000.0,675000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
9744744,m,w,"9980201,9177940,9352695,9744741,9547475","1414500.0,1506500.0,1437500.0,1414500.0,1437500.0","RFA-HD-16-011,RFA-HD-16-011,RFA-HD-16-011,RFA-HD-16-011,RFA-HD-16-011"
8729765,f,w,"10434770,9893507,10076786,10523539,10531132","428000.0,614998.77,579998.84,514998.97,514998.97","RFA-AI-18-026,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053"
7727118,m,w,"7657334,8118885,8119132,8130804,8120470","365000.0,350000.0,350000.0,350000.0,350000.0","RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002"
8360356,f,w,"8547016,8134460,7984287,7984290,7984294","4320000.0,4480000.0,4608000.0,4608000.0,4608000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
9984282,m,w,"10829180,10828665,10689969,10404443,10404413","206000.0,206000.0,1030000.0,1070000.0,1030000.0","RFA-DE-23-014,RFA-DE-23-014,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001"
8380648,m,w,"7690830,7837598,7690833,7690868,7690835","73000.0,72000.0,73000.0,73000.0,73000.0","RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008"
7938335,m,w,"9333156,8364937,8364958,8364957,8364956","982500.0,1050000.0,1050000.0,1050000.0,1050000.0","RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005,RFA-RR-09-005"
9444681,m,w,"10625373,10612954,10442288,10440618,10439334","309000.0,309000.0,321000.0,321000.0,321000.0","RFA-AI-21-007,RFA-AI-21-007,RFA-AI-21-007,RFA-AI-21-007,RFA-AI-21-007"
8149859,m,b,"8921490,8152110,8330592,8394380,8395904","99750.0,105000.0,102750.0,102750.0,102750.0","RFA-TW-10-008,RFA-TW-10-008,RFA-TW-10-008,RFA-TW-10-008,RFA-TW-10-008"
8365074,f,w,"7874611,7790849,8365087,8365088,7761113","6840000.0,6935000.0,6650000.0,6650000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
7692109,f,w,"8005977,7603122,7673450,7683921,7682236","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-CA-07-033,RFA-CA-07-033,RFA-CA-07-033,RFA-CA-07-033,RFA-CA-07-033"
8795109,f,w,"10740570,10740237,10469898,8642427,8641479","721000.0,721000.0,277785.91000000003,1330000.0,1330000.0","RFA-DA-23-026,RFA-DA-23-026,RFA-DA-22-001,RFA-OD-12-007,RFA-OD-12-007"
8261836,m,w,"9562053,9188204,9987622,9189072,9535290","62500.0,65500.0,61500.0,65500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
10694882,f,w,"8231761,8528654,8380329,8380334,8380333","5600000.0,5400000.0,5480000.0,5480000.0,5480000.0","RFA-HD-10-006,RFA-HD-10-006,RFA-HD-10-006,RFA-HD-10-006,RFA-HD-10-006"
8856849,m,a,"9096697,9736216,9095213,8955538,8956030","393000.0,369000.0,393000.0,399000.0,399000.0","RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026"
9532802,m,w,"8471943,8716704,8669786,8857123,8433072","270000.0,266000.0,266000.0,266000.0,411000.00000000006","RFA-CA-12-004,RFA-CA-12-004,RFA-CA-12-004,RFA-CA-12-004,RFA-CA-12-005"
8959800,m,w,"10308509,10470088,10130323,10129592,10128864","214000.0,214000.0,232000.0,232000.0,232000.0","RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065"
9548491,m,w,"8678837,8501368,8865543,8879020,8891353","332500.0,337500.0,332500.0,332500.0,332500.0","RFA-AI-11-034,RFA-AI-11-034,RFA-AI-11-034,RFA-AI-11-034,RFA-AI-11-034"
10470724,m,w,"8378292,8458086,8448158,8460030,8460025","1370000.0,1350000.0,1350000.0,1350000.0,1350000.0","RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001"
8127680,f,w,"8900879,8510528,8323528,8460995,8307287","665000.0,675000.0,685000.0,685000.0,685000.0","RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002"
9161253,m,w,"10689107,10493369,10493395,10493398,10493403","231750.0,240750.0,240750.0,240750.0,240750.0","RFA-AG-21-020,RFA-AG-21-020,RFA-AG-21-020,RFA-AG-21-020,RFA-AG-21-020"
8720935,m,w,"7644994,7669343,7628465,7660380,7672236","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
8926984,m,w,"8626530,8627734,8627293,8627453,10707894","337500.0,337500.0,337500.0,337500.0,412000.0","RFA-DK-12-025,RFA-DK-12-025,RFA-DK-12-025,RFA-DK-12-025,RFA-DK-20-506"
7767080,m,a,"7882658,7884268,8114154,7684744,7687367","360000.0,360000.0,350000.0,365000.0,365000.0","RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
7873833,m,w,"9982474,9527049,9785838,9983640,9347018","922500.0,937500.0,937500.0,922500.0,982500.0","RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015"
8643283,f,w,"8334832,8334860,8653305,8510725,8333931","342500.0,342500.0,337500.0,337500.0,342500.0","RFA-HD-12-192,RFA-HD-12-192,RFA-HD-12-192,RFA-HD-12-192,RFA-HD-12-192"
9132759,m,a,"9520035,9321458,9530650,9530644,9517021","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013"
10198235,m,w,"8091236,7624209,7924656,7924659,7858173","420000.0,438000.0,432000.0,432000.0,432000.0","RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008"
10000069,m,w,"10355559,10694161,10694159,10491933,10491914","348000.0,309000.0,309000.0,321000.0,321000.0","RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040"
8204570,m,h,"7847346,7684003,7686060,7935616,7682324","175200.0,175200.0,175200.0,175200.0,175200.0","RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013"
9282541,m,w,"9807098,10675612,10003141,10017794,10017799","615000.0,515000.0,615000.0,615000.0,615000.0","RFA-AG-19-006,RFA-AG-19-006,RFA-AG-19-006,RFA-AG-19-006,RFA-AG-19-006"
9637312,m,a,"9090016,9488845,8956083,8954877,8954519","393000.0,375000.0,399000.0,399000.0,399000.0","RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026"
10701890,f,h,"10434342,10434599,10851086,10629324,10624857","535000.0,535000.0,515000.0,515000.0,515000.0","RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006"
9146576,m,w,"8601749,8782643,8459827,8459770,8601748","665000.0,665000.0,675000.0,675000.0,665000.0","RFA-NS-13-001,RFA-NS-13-001,RFA-NS-13-001,RFA-NS-13-001,RFA-NS-13-001"
10476579,f,w,"9783794,9344615,9186866,9186886,9186195","307500.0,312500.0,327500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
9316532,m,b,"9376270,9376249,9911192,10897683,9912431","281250.0,281250.0,307500.0,257500.0,307500.0","RFA-AR-17-005,RFA-AR-17-005,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
8846190,m,w,"9309081,9193112,10747205,9049927,9050465","500000.0,524000.0,123600.0,266000.0,266000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-HD-23-027,RFA-MD-15-005,RFA-MD-15-005"
8090857,m,w,"9581898,9962151,9569652,9781721,9761855","312500.0,290000.0,312500.0,307500.0,307500.0","RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004"
9971432,m,b,"7924029,7699863,7701085,7700895,7706423","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020"
8263509,f,w,"7900150,7827994,8173733,8173732,8173731","6935000.0,6840000.0,6840000.0,6840000.0,6840000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8061599,m,h,"9920102,9730767,10188399,10188400,10189480","307500.0,307500.0,290000.0,290000.0,290000.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
8118485,f,b,"8665279,8106312,8106314,7882511,7882513","675000.0,1440000.0,1400000.0,1460000.0,1460000.0","RFA-FD-13-017,RFA-ES-07-003,RFA-ES-07-003,RFA-ES-07-003,RFA-ES-07-003"
8722088,f,w,"8302244,9001425,8685329,8665491,8208272","685000.0,665000.0,665000.0,665000.0,700000.0","RFA-MH-11-090,RFA-MH-11-090,RFA-MH-11-090,RFA-MH-11-090,RFA-MH-11-090"
9843641,m,w,"10526836,10526261,10526904,10526903,10526902","1287500.0,1287500.0,1287500.0,1287500.0,1287500.0","RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006"
8073945,m,b,"8307365,8294926,8497699,8471151,8079596","342500.0,342500.0,337500.0,337500.0,350000.0","RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014"
9497749,m,h,"9619030,9228313,9277332,8977735,8977235","2214000.0,2250000.0,2250000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
9783800,f,w,"9353766,9774037,9186924,9186201,9186641","312500.0,307500.0,327500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10162635,m,w,"9316364,9472952,10428680,7758428,7902201","1250000.0,1250000.0,428000.0,360000.0,360000.0","RFA-HG-15-039,RFA-HG-15-039,RFA-HG-21-008,RFA-RM-08-003,RFA-RM-08-003"
8620607,m,w,"7673567,7659588,7624174,7624176,7667965","876000.0,876000.0,876000.0,876000.0,876000.0","RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005"
